GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_noDrug	EV_DMSO_noDrug
Rv1148c	Rv1148c	hypothetical protein	zinc_limitation:23%; hypoxia_late:12%	-0.0439	0.99999807047921	2134.4	2125	2259	2237	1884	2178	76.68	80.08
Rv2515c	Rv2515c	hypothetical protein	ctl_stationary:17%; PBS_RIF_DDmtb:15%; hypoxia_fatty_acids:12%; hypoxia_late:11%	-0.0602	0.999998626210473	2176.65	2320	2392	2182	1849	2161	21.13	22.43
fadE12	Rv0972c	acyl-CoA dehydrogenase FadE12	microaerophilic:51%	-0.0539	0.999997874194961	2161.1	2292	2336	2181	1862	2151	45.84	48.33
Rv3788	Rv3788	hypothetical protein	hypoxia_late:13%	-0.0528	0.999998193964137	2152.26	2266	2276	2163	1878	2191	120.16	126.58
pmmA	Rv3257c	phosphomannomutase PmmA	ctl_exponential:9%	-0.0434	0.999998972936428	2106.1	2102	2073	2246	1908	2210	352.19	367.27
Rv2642	Rv2642	ArsR family transcriptional regulator	hypoxia_fatty_acids:56%; butyrate:15%	-0.0543	0.999998839238755	2142.37	2257	2219	2175	1880	2192	69.19	72.82
Rv3836	Rv3836	hypothetical protein	PBS_RIF_DDmtb:12%; ctl_stationary:11%	-0.0535	0.999998933300078	2137.85	2150	2275	2176	1900	2198	65.71	69.17
Rv3346c	Rv3346c	transmembrane protein	hypoxia_late:16%; butyrate:13%	-0.0593	0.999999523004295	2133.74	2227	2168	2104	1937	2240	64.13	68.08
MT0540	MT0540	hypothetical protein	human_sputum:18%	-0.0531	0.999999717930391	2090.14	2085	2008	2113	1964	2288	224.11	236.57
pstA1	Rv0930	phosphate ABC transporter permease PstA	INDIGO_exponential:10%	-0.0481	0.999996187231986	2151.88	2309	2292	2207	1854	2114	244.04	255.62
Rv2509	Rv2509	short-chain type dehydrogenase/reductase	tyloxopol:10%	-0.0442	0.999998427497365	2114.09	2048	2208	2222	1913	2188	280.67	293.16
adhA	Rv1862	alcohol dehydrogenase A	hypoxia_late:9%	-0.0477	0.999998662347533	2120.19	2142	2164	2164	1901	2238	126.51	132.84
Rv1137c	Rv1137c	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:18%	-0.0762	0.999999140977664	2200.68	2566	2454	2197	1656	2190	16.71	17.9
MT0124	MT0124	hypothetical protein	acidic:16%; acidic_tyloxopol:16%; hypoxia_hypoxic:15%; hypoxia_rar:11%	-0.0591	0.999999645820248	2108.92	2225	2037	2102	1934	2255	60.09	63.78
Rv2035	Rv2035	hypothetical protein	hypoxia_fatty_acids:51%	-0.0543	0.999998718852502	2133.4	2193	2232	2158	1897	2196	63.67	67.11
galU	Rv0993	UTP--glucose-1-phosphate uridylyltransferase	high_iron:10%	-0.0447	0.999998222769242	2110.18	2120	2135	2228	1894	2182	220.3	230.07
Rv1742	Rv1742	hypothetical protein	ctl_stationary:16%; hypoxia_late:12%; human_sputum:11%	-0.0548	0.999998345600173	2138.81	2252	2242	2166	1870	2176	51.03	53.83
esxU	Rv3445c	ESAT-6 like protein EsxU	hypoxia_late:23%; human_sputum:14%	-0.0745	0.999999055493213	2189.88	2567	2382	2218	1661	2177	23.13	24.65
Rv1178	Rv1178	aminotransferase	high_iron:12%	-0.0447	0.999998568868027	2101.16	2083	2106	2233	1898	2194	698.65	729.31
Rv0690c	Rv0690c	hypothetical protein	high_iron:9%	-0.0462	0.999997446172069	2119.39	2162	2213	2211	1871	2150	175.66	183.72
Rv1556	Rv1556	HTH-type transcriptional regulator	hypoxia_late:18%	-0.0539	0.999998713062438	2124.91	2181	2227	2169	1869	2189	42.82	45.04
mutT4	Rv3908	mutator protein MutT	tyloxopol:8%	-0.0445	0.999998396388544	2099.62	2063	2128	2226	1902	2187	232.13	242.36
Rv0787	Rv0787	hypothetical protein	human_sputum:11%; hypoxia_late:10%	-0.0493	0.999997183245016	2130.36	2311	2153	2208	1852	2142	212.94	223.11
fadE34	Rv3573c	acyl-CoA dehydrogenase FadE34	hypoxia_late:31%; hypoxia_fatty_acids:12%; ctl_stationary:11%	-0.0686	0.99999877319103	2174.33	2416	2380	2186	1739	2186	16.32	17.45
PE19	Rv1791	PE family protein PE19	human_sputum:17%; hypoxia_rar:11%	-0.0458	0.99999744045336	2112.93	2154	2185	2215	1873	2147	708.92	740.97
Rv1833c	Rv1833c	haloalkane dehalogenase	zinc_limitation:16%; PBS_RIF_DDmtb:13%; ctl_stationary:10%	-0.0522	0.999997778042483	2126.88	2209	2221	2142	1872	2201	90.79	95.7
Rv1276c	Rv1276c	hypothetical protein	hypoxia_late:22%	-0.0535	0.999998847381769	2111.74	2157	2159	2170	1896	2184	55.93	58.82
vapB7	Rv0662c	antitoxin VapB7	hypoxia_late:40%	-0.0611	0.99999941911218	2112.29	2172	2181	2110	1888	2219	34.19	36.23
Rv0303	Rv0303	dehydrogenase/reductase	hypoxia_fatty_acids:20%; nutrient_limitation:13%; PBS_RIF_DDmtb:12%	-0.0506	0.999997807378853	2112.95	2147	2202	2152	1874	2199	75.73	79.69
Rv2177c	Rv2177c	transposase	hypoxia_late:20%	-0.0618	0.999998785806544	2136.8	2241	2274	2131	1876	2174	38.57	40.97
Rv2514c	Rv2514c	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:12%; hypoxia_late:12%	-0.0656	0.999998684254536	2150.39	2352	2300	2125	1830	2165	31.45	33.44
rplS	Rv2904c	50S ribosomal protein L19	hypoxia_rar:8%	-0.0463	0.999998120505907	2090.11	2041	2145	2204	1899	2169	1121.99	1173.07
Rv1364c	Rv1364c	sigma factor regulatory protein	hypoxia_late:11%	-0.0446	0.999995369108569	2101.88	1997	2269	2225	1882	2149	81.62	85.3
Rv3224	Rv3224	iron-regulated short-chain dehydrogenase/reductase	ctl_exponential:10%	-0.0472	0.999998560417082	2075.61	2144	1946	2248	1868	2185	528.05	551.8
Rv1914c	Rv1914c	hypothetical protein	hypoxia_late:12%	-0.0562	0.99999896729796	2098.79	2100	2163	2101	1907	2230	72.45	76.63
dinX	Rv1537	DNA polymerase IV	PBS_RIF_DDmtb:26%; hypoxia_late:21%	-0.0528	0.99999832570207	2098.44	2092	2172	2135	1889	2212	33.72	35.6
Rv1714	Rv1714	oxidoreductase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	-0.0557	0.999997800960898	2113.73	2308	2108	2193	1818	2158	44.59	46.94
ansP1	Rv2127	L-asparagine permease	tyloxopol:12%; INDIGO_exponential:11%; high_iron:10%	-0.0478	0.999997677237669	2091.34	2136	2091	2195	1886	2156	250.78	262.41
Rv2573	Rv2573	2-dehydropantoate 2-reductase	hypoxia_late:38%	-0.0612	0.999999056955884	2109.04	2244	2092	2202	1841	2179	25.31	26.87
thiG	Rv0417	thiazole synthase	hypoxia_late:19%; low_iron:15%	-0.0537	0.999997717061286	2107.11	2119	2243	2190	1850	2145	50.76	53.4
moxR3	Rv3164c	methanol dehydrogenase transcriptional regulator MoxR	hypoxia_late:18%	-0.0581	0.99999734004251	2123.75	2271	2237	2168	1828	2130	49.05	51.87
glmS	Rv3436c	glucosamine--fructose-6-phosphate aminotransferase	zinc_limitation:14%	-0.0485	0.999997064716754	2095.43	2218	2074	2203	1853	2140	151.14	158.21
Rv1615	Rv1615	membrane protein	tyloxopol:8%	-0.0432	0.999994412215056	2088.72	1964	2154	2235	1906	2195	436.72	455.49
Rv2654c	Rv2654c	antitoxin	hypoxia_late:79%	-0.0864	0.999999736053379	2142.51	2558	2249	2220	1482	2287	5.12	5.5
Rv2676c	Rv2676c	hypothetical protein	zinc_limitation:7%	-0.05	0.999996291202811	2096.3	2135	2203	2194	1834	2127	124.53	130.55
ldtA	Rv0116c	L,D-transpeptidase LdtA	acidic:14%	-0.0539	0.999998039279054	2092.8	2190	2084	2103	1875	2221	105.34	111.25
nrp	Rv0101	peptide synthetase Nrp	hypoxia_late:12%	-0.0577	0.999989670551394	2141.28	2442	2342	2151	1767	2038	41.79	44.16
Rv0108c	Rv0108c	hypothetical protein	ctl_exponential:20%	-0.0509	0.999996143727694	2092.55	2248	2087	2180	1835	2125	2163.67	2268.17
Rv0837c	Rv0837c	hypothetical protein	hypoxia_fatty_acids:28%; microaerophilic:14%; ctl_stationary:14%; hypoxia_late:11%	-0.0765	0.999998078040293	2165.41	2517	2393	2171	1697	2097	14.63	15.72
Rv0059	Rv0059	hypothetical protein	human_sputum:14%	-0.046	0.999994120796948	2082.39	1976	2209	2213	1864	2162	134.53	140.61
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	-0.0514	0.999995099460741	2097.89	2182	2225	2178	1804	2115	111.65	117.12
uspC	Rv2318	sugar ABC transporter substrate-binding lipoprotein UspC	hypoxia_late:25%; ctl_stationary:11%	-0.0674	0.999998446106092	2125.61	2356	2189	2138	1824	2139	15.25	16.3
metS	Rv1007c	methionine--tRNA ligase	zinc_limitation:8%	-0.044	0.999989923720479	2079.68	1937	2183	2224	1893	2173	130.93	136.7
pknL	Rv2176	serine/threonine-protein kinase PknL	acidic_tyloxopol:11%	-0.0592	0.99999468782962	2121.34	2346	2255	2144	1785	2099	41.05	43.43
Rv1232c	Rv1232c	hypothetical protein	PBS_RIF_DDmtb:10%	-0.05	0.999996143607709	2077.41	2101	2142	2184	1846	2123	193.12	202.45
serU	Rvnt45	tRNA-Ser	hypoxia_late:20%; PBS_RIF_DDmtb:12%	-0.0679	0.999999805394778	2037.99	2104	1893	1982	1961	2260	41.22	44.13
Rv0449c	Rv0449c	hypothetical protein	PBS_RIF_DDmtb:35%; hypoxia_late:10%	-0.0574	0.999992630921646	2114.54	2300	2287	2150	1776	2082	48.32	51
Rv0216	Rv0216	hydratase	hypoxia_late:15%	-0.0554	0.999996600222877	2092.25	2126	2234	2154	1831	2128	40.14	42.31
Rv3072c	Rv3072c	hypothetical protein	hypoxia_late:16%	-0.0606	0.999997443181578	2105.52	2242	2204	2132	1826	2137	50.11	53
Rv3091	Rv3091	hypothetical protein	hypoxia_late:13%	-0.0489	0.999996736015218	2061.12	2050	2083	2189	1851	2141	107.07	112.19
tatA	Rv2094c	Sec-independent protein translocase membrane-bound protein TatA	acidic:11%	-0.0519	0.999996951571751	2065.66	2096	2065	2206	1837	2134	1587.65	1666.71
PPE55	Rv3347c	PPE family protein PPE55	microaerophilic:41%	-0.0612	0.99999291738317	2125.41	2361	2311	2153	1770	2059	45.59	48.31
MT0598	MT0598	hypothetical protein	hypoxia_hypoxic:23%; ctl_stationary:12%	-0.0698	0.999998891708665	2110.39	2275	2180	2077	1861	2171	90.12	96.05
Rv1998c	Rv1998c	hypothetical protein	ctl_stationary:15%; butyrate:15%; cholesterol:14%; hypoxia_hypoxic:12%	-0.065	0.99999617100811	2119.63	2357	2252	2120	1783	2109	34.47	36.62
mesJ	Rv3625c	tRNA(Ile)-lysidine synthase	hypoxia_late:19%; microaerophilic:14%	-0.0525	0.999994793633526	2075.14	2112	2188	2167	1817	2103	89.57	94.11
radA	Rv3585	DNA repair protein RadA	zinc_limitation:25%	-0.0524	0.999995495114237	2069.38	2191	2066	2185	1811	2106	176.98	185.76
panC	Rv3602c	pantothenate synthetase	hypoxia_late:10%	-0.0522	0.999995742663418	2058.94	2183	2020	2172	1819	2112	135.55	142.29
Rv0102	Rv0102	integral membrane protein	zinc_limitation:8%	-0.0528	0.99999062982633	2081.38	2197	2207	2156	1803	2058	136.73	143.77
recR	Rv3715c	recombination protein RecR	zinc_limitation:9%	-0.0462	0.999989527389033	2059.15	1932	2130	2196	1881	2167	404.8	423.3
Rv0650	Rv0650	sugar kinase	hypoxia_late:66%	-0.0703	0.999999463974602	2071.05	2170	2034	2039	1877	2245	9.54	10.33
MT0204.1	MT0204.1	hypothetical protein	hypoxia_late:30%; ctl_stationary:19%; human_sputum:12%; PBS_RIF_DDmtb:12%	-0.0997	0.999999988964332	2050.42	2624	1687	2265	1474	2316	5.56	6.21
MT2960	MT2960	hypothetical protein	ctl_stationary:15%; hypoxia_late:13%; PBS_RIF_DDmtb:13%	-0.0754	0.999999857247906	2022.78	2263	1705	2191	1744	2251	16.52	17.8
MT3846	MT3846	hypothetical protein	nutrient_limitation:59%; PBS_RIF_DDmtb:24%	-0.0707	0.999999362714378	2065.33	2286	1936	2201	1711	2222	52.79	56.05
Rv1645c	Rv1645c	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:10%	-0.0584	0.999993633020358	2079.21	2166	2229	2134	1787	2095	52.91	55.9
Rv3224A	Rv3224A	conserved hypothetical protein	tyloxopol:11%; high_iron:11%	-0.0533	0.999996391236998	2037.3	2134	1940	2187	1812	2126	636.15	667.98
MT3220.1	MT3220.1	hypothetical protein	acidic_tyloxopol:18%; butyrate_plus_glucose:16%; tyloxopol:15%; hypoxia_late:11%	-0.0748	0.999982287490834	2165.55	2287	1932	1634	3182	1942	5.18	6.4
Rv2420c	Rv2420c	hypothetical protein	hypoxia_late:9%	-0.0555	0.999995685387912	2040.13	1984	2131	2097	1843	2154	158.65	167.41
fadE26	Rv3504	acyl-CoA dehydrogenase FadE26	hypoxia_fatty_acids:15%; hypoxia_late:12%; ctl_stationary:10%	-0.0674	0.999993266501826	2103.15	2379	2244	2095	1760	2064	23.98	25.53
mpr11	Rvnc0015	fragment of putative small regulatory RNA	hypoxia_late:18%; ctl_exponential:12%	-0.0663	0.999999260948649	2021.22	2034	1947	2094	1825	2217	77.7	82.22
MT1571	MT1571	hypothetical protein	hypoxia_late:14%; ctl_stationary:14%	-0.1113	0.999999929838466	2128.03	2672	2356	2275	1203	2308	11.16	12.29
Rv3901c	Rv3901c	membrane protein	ctl_stationary:11%	-0.0676	0.999996501808061	2083.19	2211	2217	2062	1808	2132	59.37	63.26
MT0328.1	MT0328.1	hypothetical protein	ctl_stationary:9%	-0.0483	0.999983406792983	2052.21	1916	2170	2174	1856	2157	339.18	355.05
Rv2618	Rv2618	hypothetical protein	low_iron:17%; hypoxia_late:12%	-0.0581	0.999995546719599	2045.32	2056	2107	2079	1840	2152	84.4	89.35
echA2	Rv0456c	enoyl-CoA hydratase EchA2	hypoxia_late:19%; ctl_stationary:10%	-0.061	0.999995986934702	2055.52	2084	2136	2149	1806	2113	45.05	47.75
infC	Rv1641	initiation factor IF-3	hypoxia_hypoxic:13%	-0.0551	0.999995937772276	2031.68	2111	1954	2157	1829	2117	1738.96	1828.28
fadD21	Rv1185c	fatty-acid--CoA ligase FadD21	INDIGO_exponential:9%	-0.0477	0.999981709231348	2043.5	1910	2137	2177	1866	2138	463.22	484.7
Rv2079	Rv2079	hypothetical protein	PBS_RIF_DDmtb:14%; hypoxia_late:10%	-0.0568	0.999989542829243	2057.16	2074	2257	2148	1773	2050	57.62	60.79
moaC2	Rv0864	cyclic pyranopterin monophosphate synthase accessory protein	microaerophilic:15%	-0.0484	0.999981628711693	2045.31	1924	2149	2183	1860	2121	690.5	723.01
MT2168	MT2168	hypothetical protein	acidic_tyloxopol:10%	-0.0662	0.999999088323426	2016.13	1977	1975	2006	1915	2214	82.41	87.84
mazE8	Rv2274A	antitoxin MazE8	human_sputum:23%; INDIGO_exponential:12%; hypoxia_rar:11%	-0.0686	0.99999862549164	2041.45	2071	2055	2028	1867	2193	53.41	56.99
MT2668	MT2668	hypothetical protein	nutrient_limitation:37%; butyrate_plus_glucose:18%	-0.0642	0.999998039525345	2032.84	2035	2036	2107	1845	2148	119.1	126.22
MT2418	MT2418	hypothetical protein	hypoxia_late:15%; ctl_stationary:13%	-0.0799	0.999999358368685	2053.63	2222	1987	1947	1910	2213	19.8	21.5
Rv2516c	Rv2516c	hypothetical protein	hypoxia_fatty_acids:27%	-0.0593	0.999992569714677	2041.14	2062	2162	2143	1777	2074	75.13	79.36
Rv2574	Rv2574	hypothetical protein	human_sputum:10%	-0.0573	0.999989749776878	2036.91	2091	2144	2121	1778	2062	177.99	187.67
galE2	Rv0501	UDP-glucose 4-epimerase GalE	human_sputum:9%	-0.0482	0.999979160413422	2032.52	1903	2097	2179	1858	2136	320.51	335.46
Rv3591c	Rv3591c	hydrolase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	-0.0744	0.999993969417009	2096.92	2382	2260	2076	1736	2060	26.68	28.53
Rv2413c	Rv2413c	hypothetical protein	acidic_tyloxopol:11%	-0.0549	0.99999187031177	2015.55	2005	2070	2133	1792	2087	175.28	184.48
MT0347	MT0347	hypothetical protein	hypoxia_fatty_acids:11%	-0.056	0.999988885770056	2030.05	2115	2089	2127	1779	2051	130.08	137
Rv2469c	Rv2469c	hypothetical protein	acidic_tyloxopol:9%	-0.0564	0.999989151068427	2025.64	1938	2122	2096	1827	2155	105.61	111.62
MT1808	MT1808	hypothetical protein	hypoxia_late:13%; ctl_stationary:12%; nutrient_limitation:12%	-0.098	0.99999865395791	2131.55	2543	2403	2084	1542	2160	16.38	17.9
Rv3600c	Rv3600c	type III pantothenate kinase	zinc_limitation:9%	-0.0486	0.9999740704566	2034.99	1908	2147	2173	1847	2111	170.57	178.59
arsB2	Rv3578	arsenic transport integral membrane protein ArsB	hypoxia_late:18%; PBS_RIF_DDmtb:15%; human_sputum:11%	-0.06	0.999985294391275	2048.95	2158	2210	2109	1756	2028	74.57	78.86
coaA	Rv1092c	pantothenate kinase	hypoxia_late:11%	-0.0595	0.999990555036418	2026.69	2037	2088	2137	1793	2088	109.39	115.7
Rv1458c	Rv1458c	antibiotic ABC transporter ATP-binding protein	hypoxia_late:10%	-0.0557	0.99998891796563	2020.04	2004	2150	2130	1772	2056	95.77	100.8
Rv1835c	Rv1835c	serine esterase	PBS_RIF_DDmtb:11%	-0.0511	0.999976967812973	2027.63	1926	2148	2161	1813	2102	89.57	94.08
fadE33	Rv3564	acyl-CoA dehydrogenase FadE33	hypoxia_late:31%; human_sputum:23%	-0.0757	0.999993270336919	2087.79	2349	2267	2051	1745	2054	25.67	27.52
MT3456.1	MT3456.1	transposase, degenerate	hypoxia_late:35%; ctl_stationary:11%	-0.0746	0.999996749669791	2058.67	2186	2161	2087	1791	2081	24.17	25.92
Rv3818	Rv3818	hypothetical protein	hypoxia_late:10%	-0.0573	0.999986175568955	2024.19	2118	2100	2128	1763	2024	110.35	116.29
lppU	Rv2784c	lipoprotein LppU	acidic_tyloxopol:11%	-0.0576	0.999987547314359	2021.1	1983	2140	2136	1780	2078	130.56	137.6
ldtB	Rv2518c	L,D-transpeptidase LdtB	zinc_limitation:13%; hypoxia_rar:10%	-0.0571	0.999986811075752	2016.76	2003	2110	2129	1782	2070	163.47	172.34
Rv1504c	Rv1504c	conserved hypothetical protein	hypoxia_late:16%	-0.0749	0.999993174666233	2075.06	2363	2186	2091	1719	2044	49.76	53.19
PE18	Rv1788	PE family protein PE18	acidic_tyloxopol:12%	-0.0688	0.999997012161871	2018.8	1995	2114	2037	1833	2122	54.26	57.73
Rv1627c	Rv1627c	nonspecific lipid-transfer protein	hypoxia_fatty_acids:16%	-0.0519	0.999974421468699	2009.22	1909	2063	2160	1823	2101	330.49	346.83
lytB2	Rv1110	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	INDIGO_exponential:8%	-0.0555	0.999984752374992	2007.59	1967	2071	2141	1799	2069	446.61	469.98
csd	Rv1464	cysteine desulfurase	low_iron:26%; zinc_limitation:18%	-0.0504	0.999963751275677	2019.68	1894	2115	2162	1838	2100	284.43	298.2
Rv2998	Rv2998	hypothetical protein	hypoxia_late:18%	-0.0779	0.99999222730361	2071.03	2423	2155	2040	1712	2057	43.85	46.91
pitB	Rv2281	phosphate permease	hypoxia_late:15%; ctl_stationary:12%	-0.0693	0.999983986687347	2062.24	2322	2220	2078	1718	2000	31.99	34.1
Rv0739	Rv0739	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:16%; human_sputum:12%; ctl_stationary:10%	-0.0817	0.999995454154166	2074	2419	2167	2093	1663	2065	18.58	20.03
Rv2652c	Rv2652c	prophage protein	hypoxia_late:24%	-0.0745	0.999993443122178	2042.39	2230	2160	2048	1727	2066	29.39	31.39
glmU	Rv1018c	bifunctional UDP-N-acetylglucosamine pyrophosphorylase/glucosamine-1-phosphate	tyloxopol:7%	-0.0509	0.999955474629003	2012.25	1881	2126	2159	1822	2085	201.61	211.5
eccCb1	Rv3871	ESX-1 secretion system protein EccCb	microaerophilic:10%	-0.0591	0.999983672814582	2001.81	2001	2143	2108	1769	1999	372.4	393.09
Rv1003	Rv1003	rRNA small subunit methyltransferase I	hypoxia_late:26%	-0.0667	0.999994192714675	1996.43	1999	2041	2026	1795	2129	46.14	49.2
mhuD	Rv3592	heme-degrading monooxygenase	tyloxopol:10%	-0.0617	0.999987676899247	1995.67	2018	2067	2106	1762	2035	1355.36	1433.4
cyp135B1	Rv0568	cytochrome P450 Cyp135B1	hypoxia_hypoxic:8%	-0.0607	0.999987231769777	1989.71	2108	1950	2114	1754	2034	322.81	340.67
MT3631	MT3631	hypothetical protein	hypoxia_fatty_acids:22%; hypoxia_late:20%	-0.0881	0.999997051375611	2071.12	2355	2196	1980	1732	2120	32.8	35.47
ispF	Rv3581c	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	microaerophilic:18%	-0.0519	0.999952308991624	2008.09	1876	2117	2155	1821	2083	759.39	796.9
espH	Rv3867	ESX-1 secretion-associated protein EspH	acidic_tyloxopol:8%	-0.0584	0.999982679072463	1991.88	1990	2105	2112	1759	2004	313.68	330.72
Rv0762c	Rv0762c	hypothetical protein	microaerophilic:15%; ctl_stationary:10%; hypoxia_late:10%; hypoxia_fatty_acids:10%	-0.0729	0.999985031953259	2047.95	2312	2175	2035	1721	2021	67.51	72.03
Rv1509	Rv1509	hypothetical protein	hypoxia_late:20%; human_sputum:15%	-0.0697	0.999982313945086	2041.5	2277	2194	2068	1696	1998	51.77	55.09
Rv2958c	Rv2958c	PGL/p-HBAD biosynthesis glycosyltransferase	hypoxia_late:17%; hypoxia_rar:11%	-0.0665	0.999984831223097	2014.16	2090	2174	2058	1738	2025	44.94	47.8
eccD1	Rv3877	ESX-1 secretion system protein EccD1	PBS_RIF_DDmtb:8%	-0.0521	0.999945394621987	2001.65	1866	2119	2145	1815	2075	270.36	283.86
Rv0030	Rv0030	hypothetical protein	hypoxia_late:10%; acidic_tyloxopol:10%	-0.0783	0.999992772436667	2035.57	2216	2158	2034	1741	2046	69.9	74.91
Rv2683	Rv2683	hypothetical protein	zinc_limitation:10%	-0.064	0.999988965193339	1987.02	1952	2029	2088	1790	2084	63.99	67.72
mpa	Rv2115c	proteasome-associated ATPase	cholesterol:13%; nutrient_limitation:12%	-0.0541	0.99995572692015	1999.01	1879	2090	2139	1809	2089	440.8	463.44
mce3D	Rv1969	Mce family protein Mce3D	hypoxia_late:35%; ctl_stationary:13%	-0.0973	0.999998447431001	2061.37	2332	2241	2092	1569	2119	10.74	11.77
Rv3541c	Rv3541c	hypothetical protein	human_sputum:19%; microaerophilic:13%; hypoxia_fatty_acids:11%	-0.0905	0.99999600249364	2065.06	2387	2226	2046	1644	2061	31.18	33.82
secA1	Rv3240c	protein translocase subunit SecA	zinc_limitation:12%	-0.0524	0.999940427163919	2004.32	1861	2134	2146	1816	2077	308.68	324.18
proS	Rv2845c	proline--tRNA ligase	high_iron:9%	-0.054	0.999956248991047	1992.79	1878	2079	2126	1798	2094	143.22	150.73
Rv0755A	Rv0755A	transposase	acidic_tyloxopol:14%; human_sputum:11%; acidic:10%	-0.0683	0.999995260765649	1974.14	1941	1958	1981	1832	2166	162.32	173.25
MT2510	MT2510	hypothetical protein	hypoxia_late:27%; ctl_stationary:16%; PBS_RIF_DDmtb:15%	-0.1026	0.999985376019255	2135.46	2341	2133	1428	2928	1988	6.49	7.97
Rv3468c	Rv3468c	dTDP-glucose 4,6-dehydratase	hypoxia_late:23%; ctl_stationary:11%	-0.084	0.999990195357428	2050.5	2303	2246	2011	1689	2033	20.47	22.12
kgtP	Rv3476c	dicarboxylic acid transport membrane protein kgtP	hypoxia_late:14%	-0.072	0.999981600235381	2023.58	2212	2198	2063	1692	1976	43.05	45.96
erg3	Rv1814	membrane-bound C-5 sterol desaturase	PBS_RIF_DDmtb:14%	-0.0677	0.999983083015287	1995.8	2038	2099	2115	1715	2026	52.02	55.27
dapB	Rv2773c	4-hydroxy-tetrahydrodipicolinate reductase	tyloxopol:9%	-0.0588	0.99997395514034	1976.57	1970	2045	2119	1749	2010	189.99	200.26
vapB46	Rv3385c	antitoxin VapB46	cholesterol:8%	-0.0635	0.999988516027776	1964.58	2046	1890	2073	1757	2067	371.36	393.36
MT3994	MT3994	hypothetical protein	human_sputum:20%	-0.0652	0.999992120270518	1963.6	1958	1924	2054	1796	2093	244.68	259.1
Rv1685c	Rv1685c	hypothetical protein	hypoxia_late:10%	-0.0681	0.999983563609314	1994.24	2055	2139	2067	1708	2017	74.03	78.61
MT1170	MT1170	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:20%	-0.0997	0.999995223463534	2082.1	2482	2333	1977	1581	2098	16.46	18.03
Rv3730c	Rv3730c	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:12%; human_sputum:10%	-0.0637	0.999974768196697	1988.28	1954	2141	2075	1752	2031	68.52	72.66
Rv0199	Rv0199	membrane protein	hypoxia_rar:8%	-0.0558	0.999949326001203	1985.79	1882	2076	2122	1784	2076	181.56	191.23
Rv0801	Rv0801	hypothetical protein	ctl_exponential:10%	-0.0631	0.999987134918407	1962.01	1943	1916	2049	1794	2116	179.72	190.69
Rv2749	Rv2749	hypothetical protein	zinc_limitation:7%	-0.0576	0.999950747484397	1989.05	1837	2102	2099	1814	2105	159.38	168.09
gpgS	Rv1208	glucosyl-3-phosphoglycerate synthase	hypoxia_late:9%	-0.0614	0.999974198303195	1982.44	2075	2072	2089	1720	1969	205.78	217.44
Rv0461	Rv0461	transmembrane protein	human_sputum:10%	-0.0539	0.999938626893655	1985.8	1865	2056	2140	1800	2079	257.26	270.38
Rv0625c	Rv0625c	transmembrane protein	hypoxia_late:25%	-0.0612	0.999985029057978	1958.99	1962	1944	2080	1764	2053	98.37	103.99
Rv0044c	Rv0044c	oxidoreductase	hypoxia_late:13%	-0.0638	0.999978392133982	1976.96	1996	2027	2111	1742	2019	106	112.31
Rv2033c	Rv2033c	hypothetical protein	hypoxia_late:23%; hypoxia_hypoxic:11%	-0.0802	0.999992529614995	2008.21	2427	1881	2066	1620	2091	154.32	164.98
Rv0556	Rv0556	transmembrane protein	INDIGO_exponential:9%	-0.0562	0.999943815883936	1986.3	1867	2080	2117	1789	2090	182.06	191.83
rplJ	Rv0651	50S ribosomal protein L10	high_iron:13%; tyloxopol:12%; hypoxia_rar:12%	-0.0613	0.999983979021764	1959.12	1978	1972	2086	1750	2018	199.37	210.63
Rv2118c	Rv2118c	tRNA (adenine(58)-N(1))-methyltransferase	hypoxia_late:12%	-0.0627	0.999973074988294	1982.89	1947	2116	2064	1755	2043	81.3	86.15
Rv1119c	Rv1119c	hypothetical protein	hypoxia_late:11%	-0.0775	0.999994947623155	1978.38	2006	2033	1978	1786	2096	103.33	110.65
leuD	Rv2987c	3-isopropylmalate dehydratase small subunit	INDIGO_exponential:13%	-0.0701	0.999981424513658	1992.52	2058	2125	2098	1691	2007	87.9	93.55
prsA	Rv1017c	ribose-phosphate pyrophosphokinase	tyloxopol:11%	-0.0612	0.999973308789837	1972.68	2054	2053	2083	1723	1962	258.02	272.64
umaA	Rv0469	mycolic acid synthase UmaA	nutrient_limitation:16%; human_sputum:16%	-0.065	0.999979653776173	1967.15	2094	1978	2065	1724	1986	481.51	509.81
