GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_noDrug	Rv0827c_DMSO_noDrug
hisC2	Rv3772	histidinol-phosphate aminotransferase	hypoxia_late:15%	-0.0381	0.999999940486917	2354.39	2385	2234	2247	2556	2357	59.4	61.99
Rv1523	Rv1523	methyltransferase	hypoxia_late:15%	-0.0406	0.999999678633025	2434.19	2698	2398	2439	2432	2216	15.76	16.45
Rv0295c	Rv0295c	hypothetical protein	tyloxopol:10%	-0.0346	0.99999964465381	2383.21	2382	2431	2301	2498	2307	180.07	186.75
whiB3	Rv3416	redox-responsive transcriptional regulator WhiB3	nutrient_limitation:14%; hypoxia_rar:13%; hypoxia_hypoxic:11%	-0.0367	0.999999836927376	2368.19	2294	2062	2272	2770	2472	147.38	154.14
Rv3224B	Rv3224B	conserved hypothetical protein	high_iron:11%	-0.0341	0.999999730065997	2363.94	2224	2239	2277	2615	2477	455.68	474.34
Rv0541c	Rv0541c	integral membrane protein	hypoxia_late:15%; high_iron:11%	-0.0319	0.999999731215535	2343.3	2137	2432	2215	2626	2322	128.48	133.22
Rv0028	Rv0028	hypothetical protein	acidic_tyloxopol:9%	-0.0423	0.999999967747562	2349.21	2462	2032	2372	2623	2278	36.27	37.97
Rv1019	Rv1019	transcriptional regulator	ctl_stationary:10%	-0.0353	0.99999978623375	2360.36	2355	2293	2337	2512	2308	106.91	110.92
papA1	Rv3824c	acyltransferase PapA	acidic:17%; nutrient_limitation:14%; butyrate_plus_glucose:11%; PBS_RIF_DDmtb:11%	-0.0345	0.999999817511739	2345.7	2135	2447	2216	2554	2389	163.66	170.1
plsB2	Rv2482c	glycerol-3-phosphate acyltransferase	zinc_limitation:8%	-0.032	0.999999662026589	2352.71	2141	2498	2211	2597	2332	164.78	170.81
PE_PGRS21	Rv1087	PE-PGRS family protein PE_PGRS21	hypoxia_late:20%; cholesterol:12%	-0.0347	0.999999798494288	2349.28	2244	2315	2349	2547	2297	147.19	152.8
Rv3662c	Rv3662c	hypothetical protein	butyrate:15%; low_iron:12%; cholesterol:12%; butyrate_plus_glucose:11%	-0.036	0.999999903127138	2325.71	2209	2212	2263	2559	2395	268.11	279.15
yrbE1A	Rv0167	membrane protein	acidic:13%; acidic_tyloxopol:12%; butyrate_plus_glucose:11%	-0.0353	0.99999975951019	2358.37	2271	2385	2275	2540	2326	857.62	890.85
Rv3922c	Rv3922c	membrane protein insertion efficiency factor	acidic:15%; INDIGO_exponential:11%	-0.035	0.999999883289759	2324.17	2163	2147	2325	2583	2417	689.39	717.04
hadC	Rv0637	(3R)-hydroxyacyl-ACP dehydratase subunit HadC	INDIGO_exponential:11%	-0.035	0.999999638213392	2365.72	2361	2361	2285	2538	2288	888.43	922.31
Rv1890c	Rv1890c	hypothetical protein	PBS_RIF_DDmtb:17%; ctl_stationary:15%; hypoxia_late:13%	-0.0296	0.999999718271016	2308.41	2303	1747	2714	2266	2575	25.41	26.09
korA	Rv2455c	2-oxoglutarate oxidoreductase subunit KorA	zinc_limitation:12%	-0.0343	0.999999639970425	2354.87	2256	2478	2192	2527	2330	569.75	591.38
lppV	Rv2796c	lipoprotein LppV	hypoxia_late:24%	-0.0344	0.999999756216339	2339.18	2192	2233	2184	2643	2461	90.69	94.54
Rv1419	Rv1419	hypothetical protein	ctl_stationary:13%; human_sputum:10%	-0.0365	0.999999912924456	2309.86	2202	2159	2213	2589	2400	155.9	162.51
moaD2	Rv0868c	cyclic pyranopterin monophosphate synthase	human_sputum:9%	-0.0367	0.999999834830823	2340.54	2229	2219	2205	2629	2435	177.09	184.95
Rv2666	Rv2666	transposase	hypoxia_late:15%; low_iron:10%	-0.0375	0.999999717738728	2364.66	2387	2342	2385	2404	2306	41.61	43.19
MT3024	MT3024	hypothetical protein	hypoxia_late:11%; INDIGO_exponential:11%	-0.0397	0.999999930072169	2317.43	2311	2044	2412	2543	2292	55.28	57.56
Rv2662	Rv2662	hypothetical protein	ctl_stationary:25%; PBS_RIF_DDmtb:14%	-0.0408	0.999999852476334	2362.05	2338	2365	2456	2435	2220	29.62	30.73
vapC7	Rv0661c	ribonuclease VapC7	hypoxia_late:44%	-0.0408	0.999999864785142	2357.01	2352	2295	2489	2375	2277	21.17	21.98
htdY	Rv3389c	3-hydroxyacyl-thioester dehydratase HtdY	ctl_exponential:11%	-0.035	0.999999588464251	2357.23	2255	2485	2225	2524	2305	434.59	451.26
PPE3	Rv0280	PPE family protein PPE3	human_sputum:38%; zinc_limitation:15%; microaerophilic:15%	-0.035	0.999999676519148	2347.39	2231	2457	2212	2525	2320	60.45	62.81
Rv0010c	Rv0010c	membrane protein	tyloxopol:12%; butyrate_plus_glucose:12%	-0.0342	0.999999704907083	2336.76	2205	2272	2206	2579	2433	387.22	402.65
MT2601.1	MT2601.1	hypothetical protein	hypoxia_late:19%; ctl_stationary:11%	-0.0406	0.999999706393999	2372.77	2510	2252	2440	2469	2201	41.7	43.35
Rv3160c	Rv3160c	TetR family transcriptional regulator	hypoxia_fatty_acids:26%; microaerophilic:19%; ctl_stationary:12%; nutrient_limitation:12%	-0.0393	0.999999977223024	2278.29	2180	2128	2158	2558	2382	108.16	113.08
Rv3098c	Rv3098c	hypothetical protein	ctl_stationary:13%; PBS_RIF_DDmtb:11%	-0.0359	0.999999706761176	2338.68	2276	2377	2218	2519	2309	136.53	141.84
MT3322	MT3322	hypothetical protein	high_iron:11%	-0.0369	0.999999828447539	2322.36	2190	2214	2234	2567	2418	458.59	478.23
Rv1249c	Rv1249c	membrane protein	ctl_exponential:8%	-0.037	0.99999973234396	2337.7	2304	2336	2201	2517	2336	260.72	271.41
Rv0976c	Rv0976c	hypothetical protein	microaerophilic:58%; hypoxia_late:14%	-0.0356	0.999999656762698	2342.14	2240	2439	2210	2539	2291	31.14	32.4
MT0765	MT0765	hypothetical protein	acidic:16%	-0.0371	0.999999845633407	2315.05	2236	2258	2200	2581	2310	111.19	115.69
Rv2704	Rv2704	hypothetical protein	butyrate_plus_glucose:12%; low_iron:10%	-0.0362	0.999999693101821	2337.66	2222	2351	2328	2506	2286	149.95	155.68
MT0603	MT0603	hypothetical protein	ctl_stationary:11%	-0.0493	0.999999999968081	2298.4	2438	1893	2237	2695	2267	25.36	26.81
Rv1026	Rv1026	hypothetical protein	hypoxia_late:18%	-0.0416	0.999999901909652	2312.47	2380	2079	2198	2529	2390	106.33	111.47
Rv2559c	Rv2559c	hypothetical protein	acidic:13%; microaerophilic:12%; acidic_tyloxopol:10%	-0.0373	0.999999418285521	2354.54	2381	2358	2276	2509	2253	96.93	100.84
rmlB	Rv3464	dTDP-glucose 4,6-dehydratase	INDIGO_exponential:10%	-0.0354	0.999999658865094	2316.15	2175	2346	2214	2531	2323	281.47	292.45
Rv0227c	Rv0227c	membrane protein	tyloxopol:11%	-0.0338	0.999999551773563	2310.29	2085	2379	2159	2552	2392	450.13	467.37
devB	Rv1445c	6-phosphogluconolactonase	butyrate_plus_glucose:10%	-0.0365	0.999999446093256	2339.24	2288	2266	2140	2566	2448	180.62	188.45
Rv3819	Rv3819	hypothetical protein	acidic_tyloxopol:11%; tyloxopol:11%	-0.0404	0.999999773061165	2328.77	2342	2225	2287	2550	2247	60.81	63.43
Rv2132	Rv2132	hypothetical protein	ctl_stationary:14%	-0.0408	0.999999945396182	2274.65	2235	1923	2243	2604	2396	133.63	140.18
TB8.4	Rv1174c	low molecular weight T-cell antigen	acidic:8%	-0.0346	0.999999405736454	2315.75	2116	2416	2190	2534	2335	1282.69	1331.74
leuT	Rvnt03	tRNA-Leu	butyrate:12%; hypoxia_late:12%	-0.0434	0.999999905552451	2300.4	2334	2120	2221	2569	2270	76.28	79.74
Rv0940c	Rv0940c	oxidoreductase	microaerophilic:20%	-0.0381	0.999999417803248	2335.93	2400	2257	2299	2482	2246	63.4	65.93
dnaJ2	Rv2373c	chaperone protein DnaJ	microaerophilic:16%	-0.0365	0.999999665380598	2299.56	2215	2222	2229	2523	2316	408.09	424.51
Rv0149	Rv0149	quinone oxidoreductase	acidic:13%	-0.0328	0.999998664582356	2326.73	2094	2390	2141	2575	2452	241.49	250.76
Rv2475c	Rv2475c	hypothetical protein	INDIGO_exponential:11%	-0.0347	0.999999234395187	2304.93	2111	2404	2178	2530	2314	476.04	494.13
Rv2629	Rv2629	hypothetical protein	microaerophilic:16%; cholesterol:13%; hypoxia_hypoxic:12%	-0.0376	0.99999929939686	2324.34	2326	2227	2358	2475	2240	165.97	172.53
galE3	Rv0536	UDP-glucose 4-epimerase GalE	hypoxia_late:21%	-0.038	0.999999648958606	2299.81	2257	2188	2254	2522	2285	60.6	63.12
ureD	Rv1853	urease accessory protein UreD	hypoxia_late:8%	-0.0375	0.99999909743922	2328.92	2261	2414	2253	2465	2256	115.16	119.68
Rv3707c	Rv3707c	hypothetical protein	microaerophilic:13%; hypoxia_late:11%	-0.041	0.999999665925237	2311.64	2327	2205	2204	2514	2315	88.15	92.19
Rv0907	Rv0907	hypothetical protein	zinc_limitation:12%	-0.0361	0.99999925542063	2309.17	2119	2269	2164	2560	2449	95.24	99.35
pepA	Rv0125	serine protease PepA	hypoxia_rar:9%	-0.0348	0.999998970826083	2307.18	2091	2438	2167	2520	2334	408.36	424.06
argR	Rv1657	arginine repressor	hypoxia_late:31%	-0.0371	0.999999264649267	2304.75	2128	2423	2187	2516	2281	112.21	116.71
Rv1287	Rv1287	HTH-type transcriptional regulator	acidic_tyloxopol:24%; hypoxia_fatty_acids:13%	-0.0394	0.999999209399757	2315.88	2241	2326	2323	2461	2232	120.23	125.08
vapB3	Rv0550c	antitoxin VapB3	ctl_stationary:25%; hypoxia_late:12%	-0.0439	0.999999926183353	2255.67	2130	1914	2104	2775	2403	71.86	75.78
Rv1191	Rv1191	hypothetical protein	hypoxia_late:22%	-0.0397	0.999999397172935	2305.72	2265	2305	2166	2503	2296	104.48	109.08
metT	Rvnt07	tRNA-Met	human_sputum:22%; ctl_exponential:14%	-0.0423	0.999999356982609	2329.46	2505	2143	2394	2405	2210	367.93	383.15
MT2554.1	MT2554.1	hypothetical protein	hypoxia_late:13%	-0.0407	0.999999551168674	2303.91	2270	2209	2428	2364	2252	115.17	119.65
Rv0556	Rv0556	transmembrane protein	INDIGO_exponential:9%	-0.0371	0.999999360566643	2290.11	2194	2296	2183	2511	2274	175.04	182.06
purU	Rv2964	formyltetrahydrofolate deformylase	hypoxia_late:16%	-0.0402	0.999999305872033	2304.76	2226	2284	2375	2415	2227	34.49	35.9
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	-0.0396	0.999999492826036	2282.11	2289	2100	2530	2267	2235	19.29	20.02
MT3858	MT3858	hypothetical protein	hypoxia_late:24%; ctl_stationary:10%	-0.0456	0.999999578237065	2313.83	2492	2115	2420	2327	2225	28.25	29.42
mmpL8	Rv3823c	integral membrane transport protein MmpL8	nutrient_limitation:14%; acidic:13%; butyrate_plus_glucose:12%	-0.0369	0.999999034436243	2297.77	2214	2331	2191	2491	2268	179.81	187.06
Rv0769	Rv0769	oxidoreductase	butyrate:16%; hypoxia_fatty_acids:11%; ctl_stationary:10%	-0.043	0.999999158468492	2325.02	2424	2255	2265	2478	2209	51.83	54.18
MT0968.1	MT0968.1	hypothetical protein	microaerophilic:14%	-0.0392	0.99999901657227	2303.64	2225	2387	2186	2485	2242	191.78	199.58
helY	Rv2092c	ATP-dependent DNA helicase HelY	cholesterol:9%	-0.0353	0.999998765097087	2290.26	2115	2375	2179	2510	2283	186.68	193.92
lysT	Rvnt10	tRNA-Lys	hypoxia_late:41%; zinc_limitation:11%	-0.0553	0.999999999999876	2220.31	2600	1119	3084	2222	2351	1.68	1.81
purM	Rv0809	phosphoribosylformylglycinamidine cyclo-ligase PurM	acidic_tyloxopol:9%	-0.0352	0.999998132641276	2301.64	2102	2399	2251	2495	2271	255.46	265.22
Rv2323c	Rv2323c	hypothetical protein	ctl_stationary:15%; hypoxia_late:12%; hypoxia_fatty_acids:11%; PBS_RIF_DDmtb:10%	-0.0425	0.999999479063289	2299.07	2369	2103	2383	2459	2191	22.1	23.05
Rv2879c	Rv2879c	conserved hypothetical protein	PBS_RIF_DDmtb:12%	-0.0372	0.999999089777112	2278.12	2159	2283	2195	2497	2264	381.41	396.7
cadI	Rv2641	cadmium inducible protein CadI	hypoxia_fatty_acids:56%; butyrate:10%	-0.0443	0.99999984536138	2251.53	2196	1952	2296	2544	2290	55.94	58.67
Rv1765A	Rv1765A	transposase	INDIGO_exponential:10%	-0.0423	0.999999405863521	2293.93	2290	2197	2227	2505	2257	253.69	265.18
Rv3779	Rv3779	transmembrane protein	hypoxia_late:12%	-0.0387	0.999998598845107	2303.62	2211	2359	2271	2464	2218	65.29	67.98
Rv1053c	Rv1053c	hypothetical protein	human_sputum:20%; ctl_exponential:11%	-0.0438	0.999999681139688	2271.64	2367	2008	2142	2562	2299	114.16	119.81
Rv3015c	Rv3015c	hypothetical protein	hypoxia_late:29%	-0.0397	0.999998509595327	2303.3	2242	2371	2245	2451	2212	65.5	68.22
cmaA2	Rv0503c	cyclopropane mycolic acid synthase	acidic_tyloxopol:12%	-0.0364	0.999998221721646	2286.88	2066	2406	2145	2507	2325	222.86	231.82
MT1305.1	MT1305.1	hypothetical protein	ctl_stationary:22%; hypoxia_late:17%; PBS_RIF_DDmtb:12%	-0.0506	0.999999822164566	2278.39	2500	1832	2613	1985	2519	16.16	16.79
espG2	Rv3889c	ESX-2 secretion-associated protein EspG2	human_sputum:9%	-0.0437	0.999999574908701	2274.95	2269	2053	2334	2493	2237	97.93	102.5
Rv3679	Rv3679	anion transporter ATPase	acidic_tyloxopol:11%	-0.0403	0.999998646020262	2300.15	2286	2287	2224	2472	2236	467.31	487.37
aroB	Rv2538c	3-dehydroquinate synthase	microaerophilic:13%	-0.036	0.999998235440392	2276.79	2098	2364	2173	2502	2258	178.67	185.63
Rv3271c	Rv3271c	integral membrane protein	butyrate:20%; PBS_RIF_DDmtb:17%; hypoxia_fatty_acids:11%	-0.0371	0.999997807102235	2298.75	2207	2415	2194	2466	2219	575.49	598.24
Rv0025	Rv0025	hypothetical protein	human_sputum:10%	-0.0399	0.999998654295484	2286.23	2220	2333	2181	2470	2233	172.93	180.12
Rv3092c	Rv3092c	integral membrane protein	high_iron:12%	-0.0402	0.999999333844001	2249.47	2133	2236	2076	2487	2327	140.6	146.96
sigM	Rv3911	ECF RNA polymerase sigma factor SigM	hypoxia_late:11%	-0.0402	0.999998679418182	2279.43	2198	2302	2262	2407	2231	60.35	62.79
Rv1186c	Rv1186c	hypothetical protein	hypoxia_late:17%	-0.0391	0.999998076386919	2287.71	2200	2366	2188	2467	2224	89.1	92.83
whiB1	Rv3219	transcriptional regulator WhiB1	zinc_limitation:14%; hypoxia_rar:10%	-0.0412	0.999999048715039	2273.51	2239	2136	2284	2490	2226	4043.07	4217.6
lysS	Rv3598c	lysine--tRNA ligase	PBS_RIF_DDmtb:11%	-0.0409	0.999997634039395	2309.03	2333	2349	2273	2423	2171	90.61	94.43
Rv3027c	Rv3027c	GCN5-like N-acetyltransferase	hypoxia_late:18%	-0.0371	0.999998383344154	2265.87	2079	2394	2050	2551	2275	46.95	48.91
lppC	Rv1911c	lipoprotein LppC	acidic_tyloxopol:10%	-0.0406	0.999998960683075	2268.06	2173	2259	2175	2479	2261	239.89	250.46
Rv2477c	Rv2477c	macrolide ABC transporter ATP-binding protein	zinc_limitation:14%	-0.0366	0.999997145392759	2280.53	2099	2424	2148	2484	2260	429.15	446.23
yrbE1B	Rv0168	membrane protein	butyrate_plus_glucose:11%; acidic_tyloxopol:10%	-0.0393	0.999997502862744	2290.37	2181	2381	2268	2446	2182	380.58	396.11
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	-0.0533	0.999999866568222	2248.09	2418	1818	2453	2382	2202	26.14	27.43
PE27	Rv2769c	PE family protein PE27	hypoxia_late:30%	-0.0437	0.999999002280459	2276.26	2218	2263	2311	2394	2198	29.86	31.18
rplN	Rv0714	50S ribosomal protein L14	hypoxia_rar:10%	-0.0405	0.999998846094447	2247.26	2166	2135	2228	2474	2241	639.91	667.68
Rv0365c	Rv0365c	hypothetical protein	hypoxia_late:14%	-0.0406	0.999997545345392	2286.54	2316	2256	2286	2387	2190	78.29	81.51
manB	Rv3264c	D-alpha-D-mannose-1-phosphate guanylyltransferase ManB	high_iron:10%	-0.0387	0.999998166628966	2248.94	2075	2303	2098	2477	2304	293.76	306.3
mmaA4	Rv0642c	hydroxymycolate synthase MmaA4	tyloxopol:8%	-0.0417	0.999997418250684	2290.99	2336	2281	2197	2453	2193	568.47	593.31
cobQ1	Rv0255c	cobyric acid synthase	hypoxia_late:20%	-0.0373	0.999997089615829	2269.43	2044	2403	2120	2496	2300	102.3	106.54
crcB	Rv3069	fluoride ion transporter CrcB	ctl_stationary:10%	-0.0434	0.999998949081451	2256.12	2260	2125	2236	2473	2194	71.85	75
lpqV	Rv1064c	lipoprotein LpqV	hypoxia_late:34%	-0.0483	0.999999309527983	2264.63	2425	2001	2424	2270	2217	34.11	35.61
Rv1545	Rv1545	hypothetical protein	butyrate_plus_glucose:9%	-0.0449	0.999999480704278	2220.12	2150	2047	2095	2500	2324	326.71	343.25
fadB2	Rv0468	3-hydroxybutyryl-CoA dehydrogenase	nutrient_limitation:29%	-0.0378	0.999996052213784	2263.84	2056	2410	2115	2481	2272	158.9	165.42
sdhA	Rv3318	succinate dehydrogenase flavoprotein subunit	hypoxia_late:15%	-0.0372	0.999996024965895	2256.41	2046	2347	2151	2488	2263	120.51	125.4
ptbB	Rv0153c	phosphotyrosine protein phosphatase	hypoxia_late:9%	-0.0385	0.999997084182077	2240.62	2011	2328	2069	2494	2319	149.52	155.93
Rv0347	Rv0347	membrane protein	hypoxia_fatty_acids:14%	-0.05	0.999997602318438	2301.71	2489	2270	2352	2275	2130	27.91	29.25
Rv1824	Rv1824	hypothetical protein	INDIGO_exponential:9%	-0.0433	0.999997692242612	2256.58	2203	2298	2171	2448	2169	140.02	146.18
Rv3730c	Rv3730c	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:12%; human_sputum:10%	-0.0418	0.999997068246103	2262.42	2223	2294	2223	2390	2185	65.72	68.52
sdhC	Rv3316	succinate dehydrogenase cytochrome B-556 subunit	hypoxia_late:10%	-0.0434	0.999996794987636	2269.87	2295	2288	2252	2339	2177	137.1	142.82
Rv1245c	Rv1245c	short-chain type dehydrogenase/reductase	hypoxia_hypoxic:8%	-0.0443	0.999998805882176	2222.6	2216	2058	2112	2462	2276	128.16	134.5
B11	MTS2822	small intergenic RNA	butyrate:12%; acidic_tyloxopol:12%; nutrient_limitation:11%; butyrate_plus_glucose:10%	-0.048	0.999998626760831	2246.94	2409	1993	2257	2420	2170	284.42	297.63
MT1798	MT1798	hypothetical protein	hypoxia_late:17%; ctl_stationary:14%; PBS_RIF_DDmtb:11%; hypoxia_hypoxic:10%	-0.0805	0.99999999998462	2247.21	2350	1721	2407	2521	2284	15.3	16.5
argU	Rvnt43	tRNA-Arg	zinc_limitation:41%; hypoxia_late:23%	-0.0652	0.999999768177855	2271.53	2560	2039	2473	2166	2142	26.26	27.74
MT2364.1	MT2364.1	hypothetical protein	ctl_stationary:8%	-0.0603	0.999999921240715	2197.73	2331	1768	2217	2468	2238	23.01	24.43
MTS2977	MTS2977	small intergenic RNA	ctl_exponential:10%	-0.0405	0.999995651518584	2250.95	2195	2301	2199	2401	2163	710.03	739.61
Rv3179	Rv3179	hypothetical protein	hypoxia_late:18%; ctl_stationary:16%	-0.0461	0.999996591878739	2274.52	2320	2306	2235	2389	2127	38.24	40.02
PPE55	Rv3347c	PPE family protein PPE55	microaerophilic:41%	-0.0414	0.999993662273723	2276.04	2315	2334	2250	2376	2110	43.69	45.59
Rv0274	Rv0274	hypothetical protein	ctl_stationary:10%	-0.0423	0.999997061006341	2242.01	2160	2275	2208	2413	2159	140.11	146.14
Rv0799c	Rv0799c	hypothetical protein	hypoxia_late:10%	-0.0417	0.999994411133824	2268.62	2293	2313	2231	2359	2150	133.84	139.45
vapB46	Rv3385c	antitoxin VapB46	cholesterol:8%	-0.0441	0.999996306744192	2265.37	2277	2267	2261	2381	2144	355.72	371.36
MT0177	MT0177	hypothetical protein	butyrate_plus_glucose:12%; acidic:11%	-0.0421	0.999995357418568	2251.73	2169	2324	2239	2400	2132	466.82	486.85
PE7	Rv0916c	PE family protein PE7	microaerophilic:43%	-0.0501	0.999998799530618	2236.69	2283	2129	2344	2269	2162	33.83	35.33
Rv1051c	Rv1051c	hypothetical protein	hypoxia_late:38%; ctl_stationary:17%; human_sputum:12%	-0.0511	0.999999519655825	2196.48	2297	1901	2586	2040	2189	9.33	9.71
ask	Rv3709c	aspartokinase	microaerophilic:12%; zinc_limitation:10%	-0.0379	0.999994218766892	2232.28	2032	2350	2046	2471	2279	353.8	368.48
Rv2765	Rv2765	hydrolase	hypoxia_late:18%	-0.0505	0.999998926820142	2229.71	2356	1930	2317	2441	2124	30.5	32.03
Rv3195	Rv3195	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:15%; nutrient_limitation:12%; ctl_stationary:10%	-0.0495	0.999997432138117	2258.78	2308	2240	2319	2330	2101	15.41	16.17
Rv0987	Rv0987	adhesion component ABC transporter permease	hypoxia_late:14%; PBS_RIF_DDmtb:13%; ctl_stationary:11%	-0.0404	0.999994282626113	2242.85	2092	2370	2136	2431	2195	67.98	70.92
gpm2	Rv3214	phosphoglycerate mutase	ctl_stationary:10%	-0.0402	0.999993049887411	2251.4	2073	2402	2170	2416	2206	164.64	171.49
alkB	Rv3252c	transmembrane alkane 1-monooxygenase AlkB	nutrient_limitation:47%; PBS_RIF_DDmtb:21%	-0.04	0.999996371855452	2217.8	2030	2192	2149	2476	2254	145.85	152.2
arsB2	Rv3578	arsenic transport integral membrane protein ArsB	hypoxia_late:18%; PBS_RIF_DDmtb:15%; human_sputum:11%	-0.0409	0.99999526580574	2237.47	2123	2380	2125	2380	2187	71.56	74.57
moaB3	Rv3324A	pterin-4-alpha-carbinolamine dehydratase moaB3	human_sputum:28%; hypoxia_late:11%	-0.0665	0.999999963071203	2178.64	2552	1510	2576	2039	2313	14.53	15.28
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	-0.0442	0.999996756999698	2239.11	2233	2218	2117	2422	2211	340.94	356.91
MT0116.1	MT0116.1	hypothetical protein	acidic_tyloxopol:23%; butyrate_plus_glucose:14%; butyrate:12%; low_iron:12%; tyloxopol:11%	-0.0487	0.999999280999228	2169.76	2118	1858	2134	2499	2265	352.73	371.48
Rv2077c	Rv2077c	transmembrane protein	nutrient_limitation:14%; ctl_stationary:11%	-0.0415	0.999994470771526	2235.27	2074	2325	2123	2436	2228	227.56	237.64
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	-0.044	0.999996118606458	2234.58	2158	2311	2137	2406	2167	64.02	66.98
PE26	Rv2519	PE family protein PE26	zinc_limitation:8%	-0.0399	0.999993236065343	2230.92	2054	2323	2110	2450	2229	171.8	179.13
Rv3750c	Rv3750c	excisionase	acidic_tyloxopol:16%; ctl_exponential:11%	-0.0395	0.99999195217002	2231.83	2034	2337	2118	2460	2223	286.98	298.89
Rv1771	Rv1771	L-gulono-1,4-lactone dehydrogenase	tyloxopol:10%	-0.0411	0.99999615538704	2209.66	2086	2207	2114	2443	2207	200.29	209.03
mcr19	Rvnc0004	fragment of putative small regulatory RNA	microaerophilic:22%; low_iron:11%	-0.0545	0.999999333500835	2204.21	2359	1838	2127	2541	2188	125.14	132.25
Rv2204c	Rv2204c	hypothetical protein	human_sputum:8%	-0.0444	0.999995156607203	2239.25	2264	2215	2163	2408	2151	1375.47	1438.58
fadH	Rv1175c	NADPH dependent 2,4-dienoyl-CoA reductase FadH	hypoxia_rar:8%	-0.0393	0.999988530762347	2240.93	2017	2386	2143	2458	2215	131.54	137.06
Rv3335c	Rv3335c	integral membrane protein	hypoxia_late:13%	-0.0437	0.999996337566539	2218.99	2228	2126	2176	2419	2152	138.13	144.32
mazE1	Rv0456B	antitoxin MazE1	ctl_stationary:14%; hypoxia_late:12%	-0.0599	0.999999669075543	2204.32	2407	1762	2443	2289	2157	26.9	28.29
ptkA	Rv2232	protein tyrosine kinase transcriptional regulator PtkA	hypoxia_late:14%	-0.0436	0.999993189406214	2244.95	2284	2253	2248	2314	2128	127.48	132.94
Rv1941	Rv1941	short-chain type dehydrogenase/reductase	INDIGO_exponential:9%	-0.0423	0.999993901806204	2225.02	2081	2297	2156	2421	2178	186.49	194.67
proY	Rvnt40	tRNA-Pro	hypoxia_late:12%	-0.0673	0.999999018061881	2291.11	2652	2196	2318	2219	2090	37.28	39.53
MT3921	MT3921	hypothetical protein	hypoxia_late:12%	-0.0519	0.999999452207894	2157.78	2109	1950	1935	2576	2250	72.39	76.62
Rv2117	Rv2117	hypothetical protein	hypoxia_late:9%	-0.0498	0.999997948073724	2210.66	2206	2142	2202	2342	2164	53.4	55.9
Rv1770	Rv1770	hypothetical protein	hypoxia_late:10%	-0.0401	0.999990600099406	2226.5	2093	2340	2153	2410	2145	338.64	352.75
Rv3401	Rv3401	glycosyl hydrolase	low_iron:10%	-0.0424	0.999994935681514	2212.13	2143	2198	2147	2425	2154	213.51	222.95
Rv0209	Rv0209	hypothetical protein	hypoxia_late:23%	-0.0447	0.999993170280205	2246.73	2280	2320	2180	2324	2133	51.56	53.83
Rv0398c	Rv0398c	hypothetical protein	acidic_tyloxopol:14%; hypoxia_late:12%; acidic:11%	-0.0452	0.999995726494844	2220.48	2210	2229	2051	2417	2203	166.44	174.44
udgB	Rv1259	uracil DNA glycosylase	hypoxia_late:34%	-0.0484	0.999995707674338	2236.7	2298	2187	2249	2337	2116	45.42	47.56
PE5	Rv0285	PE family protein PE5	microaerophilic:49%	-0.0391	0.999988226039064	2224.43	2024	2369	2084	2452	2208	856.41	891.75
Rv3468c	Rv3468c	dTDP-glucose 4,6-dehydratase	hypoxia_late:23%; ctl_stationary:11%	-0.0502	0.999997117553617	2221.57	2187	2201	2295	2336	2093	19.52	20.47
Rv1864c	Rv1864c	hypothetical protein	hypoxia_late:10%	-0.0471	0.999995300127335	2223.87	2245	2242	2094	2409	2136	69.66	73.03
sucC	Rv0951	succinyl-CoA ligase subunit beta	hypoxia_hypoxic:9%	-0.0398	0.999988507922781	2223.23	2043	2316	2131	2440	2197	768.58	800.96
Rv1888A	Rv1888A	conserved hypothetical protein	PBS_RIF_DDmtb:16%	-0.062	0.999999205564949	2228.24	2457	2023	2414	2091	2173	27.72	29.15
Rv1167c	Rv1167c	transcriptional regulator	PBS_RIF_DDmtb:15%; nutrient_limitation:12%	-0.0413	0.999991340482731	2216.88	2063	2339	2101	2399	2192	132.79	138.4
MT0859	MT0859	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:20%; ctl_stationary:17%	-0.075	0.999999949895334	2184.74	2582	1422	2608	1794	2679	4.43	4.68
ileS	Rv1536	isoleucine--tRNA ligase	acidic:20%; PBS_RIF_DDmtb:17%; acidic_tyloxopol:13%; nutrient_limitation:10%	-0.0391	0.999982752762657	2222.04	2047	2395	2089	2428	2165	152.27	158.56
rubB	Rv3250c	rubredoxin RubB	nutrient_limitation:41%; PBS_RIF_DDmtb:18%	-0.0464	0.999997144039317	2175.99	2121	1997	2189	2426	2158	588.01	615.96
