GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_DMSO_RIF	Rv0494_DMSO_noDrug
cysQ	Rv2131c	3'-phosphoadenosine 5'-phosphate phosphatase	microaerophilic:12%	-0.0263	0.999994864626057	1909.26	1843	2052	1900	1908	1847	434.25	444.58
zmp1	Rv0198c	zinc metalloprotease	human_sputum:9%	-0.0263	0.999994248780898	1914.06	1845	2091	1927	1887	1826	211.69	216.7
Rv0345	Rv0345	hypothetical protein	butyrate_plus_glucose:10%	-0.0318	0.999998314064273	1906.47	1861	1905	1884	1938	1945	109.1	112.23
dsbF	Rv1677	lipoprotein DsbF	high_iron:9%	-0.0256	0.999996059034527	1899	1721	2065	1889	1932	1896	402.23	411.76
bpoA	Rv3473c	peroxidase BpoA	hypoxia_late:32%; ctl_stationary:12%; PBS_RIF_DDmtb:11%	-0.0331	0.999999867738827	1859.01	1853	1516	1974	2029	1947	5.91	6.14
Rv0479c	Rv0479c	membrane protein	human_sputum:9%	-0.0318	0.999994339766614	1953.04	2181	2028	1929	1820	1819	179.67	184.61
Rv2827c	Rv2827c	hypothetical protein	microaerophilic:17%	-0.0296	0.99999644709866	1913.98	1897	1996	1894	1900	1884	101.82	104.54
ltp2	Rv3540c	lipid transfer protein	human_sputum:15%; hypoxia_fatty_acids:11%; hypoxia_late:10%	-0.0317	0.999998389943759	1897.26	1822	1892	1868	1945	1961	36.12	37.21
PE24	Rv2408	PE family protein PE24	hypoxia_late:18%	-0.0312	0.999997871889112	1899.97	1801	1975	1891	1915	1920	64.79	66.62
Rv0789c	Rv0789c	hypothetical protein	hypoxia_fatty_acids:22%	-0.0321	0.999998587549481	1894.01	1886	1790	1865	1973	1959	99.03	102.08
acyP	Rv2922A	acylphosphatase	hypoxia_late:15%	-0.0312	0.999997925082757	1896.15	1800	1982	1829	1939	1934	104.45	107.36
mshA	Rv0486	D-inositol 3-phosphate glycosyltransferase	microaerophilic:17%	-0.027	0.999996328252134	1891.97	1794	1967	1888	1970	1844	409.75	420.17
Rv1673c	Rv1673c	hypothetical protein	hypoxia_late:25%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	-0.0351	0.999998908999257	1902.69	1873	1928	1863	1934	1916	11	11.38
vapC38	Rv2494	ribonuclease VapC38	microaerophilic:11%	-0.0329	0.999997484837269	1907.86	1984	1840	1872	1942	1903	312.8	322.29
MT0392	MT0392	hypothetical protein	hypoxia_late:19%; tyloxopol:12%	-0.0358	0.999999580917587	1875.25	1924	1586	2015	1874	1994	137.48	141.43
narK1	Rv2329c	nitrate/nitrite transporter	acidic:13%; zinc_limitation:11%	-0.0299	0.999993277684296	1920.68	2023	2025	1925	1835	1801	180.25	184.97
Rv0731c	Rv0731c	S-adenosylmethionine-dependent methyltransferase	hypoxia_late:16%	-0.0332	0.999998016190068	1897.39	1943	1810	1969	1870	1897	66.98	68.81
Rv1517	Rv1517	hypothetical protein	human_sputum:16%; hypoxia_late:12%; microaerophilic:12%	-0.0367	0.999999079493271	1894.7	1852	1926	1876	1910	1910	11.55	11.95
lhr	Rv3296	ATP-dependent helicase	hypoxia_late:19%; zinc_limitation:12%	-0.0273	0.999995398224463	1884.69	1799	1965	1875	1944	1843	96.23	98.69
Rv1930c	Rv1930c	hypothetical protein	hypoxia_late:52%	-0.0403	0.999999590593241	1898.58	1982	1788	1804	1928	1996	9.34	9.72
Rv0487	Rv0487	hypothetical protein	hypoxia_late:10%	-0.0317	0.999997733647029	1888.34	1916	1795	1871	1975	1887	216.1	222.66
MT0724.1	MT0724.1	hypothetical protein	hypoxia_late:17%	-0.0382	0.999999502605016	1888.83	1881	1801	1877	1943	1944	30.72	31.76
Rv0880	Rv0880	HTH-type transcriptional regulator	hypoxia_late:12%; ctl_stationary:10%	-0.0418	0.999998246417713	1941.55	2257	1858	1937	1794	1878	32.45	33.6
MT2165	MT2165	hypothetical protein	ctl_stationary:10%	-0.0384	0.999998918915391	1899.63	1978	1803	1903	1854	1963	42.14	43.57
MT3855	MT3855	hypothetical protein	ctl_exponential:12%	-0.036	0.999998654807398	1890.8	1954	1771	1981	1804	1949	202.47	208.37
Rv2765	Rv2765	hydrolase	hypoxia_late:18%	-0.0375	0.999999311732695	1874.2	1968	1638	2025	1816	1937	18.33	18.92
Rv1989c	Rv1989c	hypothetical protein	PBS_RIF_DDmtb:14%; acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	-0.0325	0.999997023661557	1889.06	1835	1930	1905	1877	1899	81.74	84.02
dhaA	Rv2579	haloalkane dehalogenase	zinc_limitation:12%; hypoxia_late:11%	-0.0334	0.99999742002054	1890.68	1878	1890	1947	1860	1879	56	57.61
Rv1583c	Rv1583c	phage protein	hypoxia_late:12%	-0.0329	0.999997228208586	1885.66	1791	1979	1849	1891	1921	94.67	97.44
agpS	Rv3107c	alkyldihydroxyacetonephosphate synthase	hypoxia_late:17%	-0.0316	0.999994554718158	1894.61	1889	2001	1879	1850	1856	49.96	51.36
Rv2723	Rv2723	integral membrane protein	hypoxia_late:11%	-0.0332	0.999996817786846	1892.15	1860	1958	1928	1843	1873	34.64	35.64
rpsA	Rv1630	30S ribosomal protein S1	INDIGO_exponential:9%	-0.0279	0.999992894227792	1884.55	1807	2045	1915	1861	1800	1032.65	1057.91
Rv2644c	Rv2644c	hypothetical protein	PBS_RIF_DDmtb:11%	-0.0347	0.999998642435378	1867.86	1851	1778	1832	1949	1932	48.01	49.48
cyp121	Rv2276	cytochrome P450 Cyp121	human_sputum:16%; tyloxopol:12%; high_iron:11%	-0.0342	0.999996386573221	1892.29	1896	1945	1887	1862	1872	35.41	36.48
trpG	Rv0013	anthranilate synthase component II	INDIGO_exponential:8%	-0.0288	0.999992877103518	1882.49	1817	2027	1852	1868	1852	226.72	232.59
Rv2120c	Rv2120c	integral membrane protein	hypoxia_late:10%	-0.0334	0.999997027214683	1876.76	1844	1887	1952	1828	1874	106.8	109.83
rplA	Rv0641	50S ribosomal protein L1	zinc_limitation:12%	-0.028	0.999991366276604	1885.21	1837	2063	1883	1872	1777	2209.51	2264.86
rpsM	Rv3460c	30S ribosomal protein S13	tyloxopol:8%	-0.0305	0.999994464611605	1873.19	1848	1919	1908	1882	1810	835.66	858.45
Rv1053c	Rv1053c	hypothetical protein	human_sputum:20%; ctl_exponential:11%	-0.0323	0.999996754373051	1866.63	1756	1955	1803	1896	1927	134.49	138.35
PPE19	Rv1361c	PPE family protein PPE19	acidic:23%	-0.0285	0.999993035274987	1865.27	1788	1973	1846	1930	1793	1627.92	1670.34
add	Rv3313c	adenosine deaminase	tyloxopol:10%	-0.0325	0.999994067749124	1884.52	1869	1993	1904	1824	1835	81.97	84.27
kdpC	Rv1031	potassium-transporting ATPase subunit C	human_sputum:14%; acidic_tyloxopol:10%; hypoxia_late:10%	-0.0343	0.999997495367843	1861.17	1738	1914	1847	1884	1926	55	56.69
Rv2008c	Rv2008c	hypothetical protein	hypoxia_late:20%; ctl_stationary:16%	-0.0377	0.999997834315548	1875.05	1951	1797	1895	1848	1886	14.21	14.7
Rv0730	Rv0730	GCN5-like N-acetyltransferase	tyloxopol:8%	-0.0312	0.99999383016884	1872.03	1841	1952	1918	1833	1818	231.24	237.4
vapC46	Rv3384c	ribonuclease VapC46	high_iron:9%	-0.0329	0.999994939110534	1868.95	1825	1932	1907	1827	1855	178.56	183.6
rplK	Rv0640	50S ribosomal protein L11	zinc_limitation:10%	-0.0328	0.999996929269619	1841.96	1779	1756	1914	1926	1838	950.34	978.33
Rv3847	Rv3847	hypothetical protein	acidic:14%; ctl_stationary:10%	-0.0321	0.999992001518127	1878.09	1898	1992	1845	1841	1817	206.56	212.37
Rv1105	Rv1105	para-nitrobenzyl esterase	hypoxia_late:15%; human_sputum:12%; PBS_RIF_DDmtb:10%	-0.0405	0.999998994635935	1858.17	1910	1754	1755	1960	1917	15.12	15.72
Rv0142	Rv0142	hypothetical protein	hypoxia_late:21%	-0.032	0.999992638993127	1871.97	1856	1984	1858	1823	1841	104.78	107.72
Rv3081	Rv3081	hypothetical protein	ctl_stationary:14%; hypoxia_late:13%	-0.0348	0.999996705769191	1845.24	1764	1828	1834	1897	1905	44.12	45.54
ercc3	Rv0861c	DNA helicase Ercc3	zinc_limitation:17%	-0.0288	0.999989831481283	1847.89	1704	2046	1869	1844	1785	156.95	160.97
aceAb	Rv1916	isocitrate lyase AceAb	acidic_tyloxopol:9%	-0.0305	0.999990830976143	1860.85	1786	2029	1840	1829	1825	106.21	109.08
Rv1264	Rv1264	adenylyl cyclase	high_iron:8%	-0.0283	0.999990357245839	1836.27	1676	2010	1823	1902	1779	377.81	387.61
Rv3683	Rv3683	hypothetical protein	PBS_RIF_DDmtb:8%	-0.0331	0.999993214866433	1855.09	1854	1897	1864	1855	1806	155.08	159.65
Rv3528c	Rv3528c	hypothetical protein	hypoxia_late:12%; human_sputum:11%	-0.0383	0.999997048391383	1856.87	1942	1752	1960	1782	1853	55.06	56.8
yjcE	Rv2287	Na(+)/H(+) transporter	hypoxia_late:20%	-0.0359	0.999992893153738	1872.28	1963	1962	1878	1755	1808	31.64	32.62
Rv1922	Rv1922	lipoprotein	hypoxia_late:16%; ctl_stationary:12%	-0.0351	0.999995065731505	1841.4	1752	1908	1867	1814	1868	35.36	36.44
Rv0750	Rv0750	hypothetical protein	human_sputum:9%	-0.0379	0.999994421088581	1862.76	1957	1877	1798	1807	1877	117.02	120.78
amt	Rv2920c	ammonium transporter integral membrane protein	human_sputum:14%; hypoxia_late:14%	-0.0335	0.999991225276442	1859.17	1863	1966	1797	1836	1836	57.16	58.88
PEP0077	PEP0077	Small peptide in vicinity of Rv0581	ctl_stationary:12%; hypoxia_late:12%	-0.0386	0.999998696115526	1816.36	1762	1632	1874	1903	1919	148.69	153.46
egtB	Rv3703c	iron(II)-dependent oxidoreductase EgtB	hypoxia_late:10%	-0.0315	0.999991707681295	1833.54	1749	1917	1826	1875	1803	134.12	138.01
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	-0.0351	0.999994772962867	1826.47	1720	1866	1896	1799	1854	87.14	89.73
rpe	Rv1408	ribulose-phosphate 3-epimerase	human_sputum:10%	-0.0295	0.999988772156294	1829.39	1658	2037	1833	1840	1789	304.41	312.38
rpmC	Rv0709	50S ribosomal protein L29	ctl_exponential:11%	-0.0306	0.999986161853008	1842.34	1809	1988	1838	1837	1744	2750.38	2824.26
glgB	Rv1326c	1,4-alpha-glucan branching protein	microaerophilic:16%	-0.0291	0.999988441285149	1822.64	1656	2004	1813	1867	1782	125.49	128.82
Rv3046c	Rv3046c	hypothetical protein	butyrate_plus_glucose:12%	-0.0325	0.99999007931089	1838.64	1765	1977	1861	1796	1798	330.68	339.89
Rv2854	Rv2854	hypothetical protein	hypoxia_late:16%	-0.0378	0.999993878165014	1846.91	1855	1904	1768	1834	1875	28.54	29.51
Rv2319c	Rv2319c	universal stress protein	hypoxia_late:28%; ctl_stationary:12%	-0.0389	0.999998218211132	1816.21	1803	1642	1817	1924	1902	20.93	21.72
Rv2709	Rv2709	transmembrane protein	PBS_RIF_DDmtb:8%	-0.0329	0.999991144913988	1835.2	1771	1936	1839	1817	1815	223.88	230.21
MT0781	MT0781	hypothetical protein	hypoxia_late:7%	-0.0337	0.999987858899921	1855.21	1883	1981	1860	1800	1756	227.55	234.12
MT0806	MT0806	hypothetical protein	hypoxia_late:38%; human_sputum:15%	-0.0433	0.999998166384048	1838.87	1935	1654	1855	1863	1894	43.89	45.55
alaU	Rvnt37	tRNA-Ala	hypoxia_late:13%; butyrate:12%	-0.0555	0.999999806744616	1860.31	2073	1553	1822	1923	1952	18.91	20.04
amiB2	Rv1263	amidase AmiB	hypoxia_late:24%; ctl_stationary:12%	-0.0365	0.999992573345893	1842.85	1857	1923	1801	1777	1858	26.7	27.56
Rv0205	Rv0205	transmembrane protein	butyrate_plus_glucose:9%	-0.036	0.999993818412282	1830.67	1847	1785	1827	1879	1816	94.18	97.27
rocD1	Rv2322c	ornithine aminotransferase rocD1	hypoxia_late:16%; ctl_stationary:12%	-0.0429	0.999997537451012	1843.62	1944	1735	1783	1865	1895	24.34	25.33
Rv1877	Rv1877	MFS-type transporter	ctl_stationary:8%	-0.0314	0.999986102338603	1835.12	1751	2019	1853	1801	1758	88.84	91.3
Rv1255c	Rv1255c	HTH-type transcriptional regulator	hypoxia_fatty_acids:18%	-0.036	0.999993747037336	1824.34	1846	1769	1781	1885	1842	131.75	136.08
MT3580.2	MT3580.2	hypothetical protein	acidic:20%; ctl_exponential:12%; hypoxia_hypoxic:12%	-0.0355	0.999993174413999	1817.89	1795	1800	1913	1788	1795	1448.09	1490.11
ino1	Rv0046c	inositol-3-phosphate synthase	acidic_tyloxopol:12%	-0.0312	0.999983683369289	1831.31	1758	2016	1866	1813	1711	595.47	611.58
rpmH	Rv3924c	50S ribosomal protein L34	INDIGO_exponential:10%	-0.0342	0.999987748609281	1835.69	1876	1922	1848	1773	1762	871.27	896.48
eccA2	Rv3884c	ESX-2 secretion system protein EccA	hypoxia_late:10%; ctl_exponential:10%	-0.0346	0.999990812531416	1826.46	1872	1806	1814	1890	1752	141.87	146.38
rocD2	Rv2321c	ornithine aminotransferase rocD2	ctl_stationary:17%; hypoxia_late:14%	-0.0415	0.999998096675906	1809.18	1770	1704	1818	1886	1871	23.87	24.74
echA4	Rv0673	enoyl-CoA hydratase EchA4	PBS_RIF_DDmtb:18%; hypoxia_fatty_acids:13%; hypoxia_late:11%	-0.0355	0.999993953612726	1805.6	1810	1705	1830	1906	1780	164.5	169.89
Rv1865c	Rv1865c	short-chain type dehydrogenase	hypoxia_late:17%; ctl_stationary:12%	-0.039	0.99999709559475	1807.37	1769	1670	1923	1818	1862	37.26	38.44
Rv0633c	Rv0633c	hypothetical protein	hypoxia_late:11%	-0.0348	0.999987563086318	1834.67	1890	1915	1841	1757	1773	130.69	134.57
Rv0922	Rv0922	transposase	zinc_limitation:19%	-0.0309	0.999982498930768	1819.45	1766	1969	1821	1826	1720	548.57	563.47
PPE22	Rv1705c	PPE family protein PPE22	hypoxia_late:27%; human_sputum:13%	-0.0376	0.999993203611748	1815.95	1735	1894	1777	1815	1861	26.01	26.88
Rv2791c	Rv2791c	transposase	zinc_limitation:30%; cholesterol:12%	-0.0296	0.999981346522943	1804.96	1655	2013	1792	1852	1723	685.32	703.51
cobU	Rv0254c	bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase	hypoxia_late:18%; nutrient_limitation:10%	-0.0383	0.999993506618578	1815.45	1732	1900	1770	1802	1876	48.73	50.34
hemN	Rv2388c	oxygen-independent coproporphyrinogen III oxidase	hypoxia_late:8%	-0.0337	0.999990716044797	1796.74	1702	1824	1808	1876	1776	198.08	204.19
Rv2751	Rv2751	hypothetical protein	butyrate_plus_glucose:8%	-0.0353	0.999985676430126	1824.5	1840	1933	1811	1787	1754	153.72	158.44
lpqX	Rv1228	lipoprotein LpqX	PBS_RIF_DDmtb:13%	-0.0374	0.999992808710048	1804.03	1755	1782	1796	1851	1837	179.15	185.11
MT3174.1	MT3174.1	hypothetical protein	hypoxia_late:19%	-0.0503	0.999999679551266	1796.57	1972	1345	1842	1866	2001	23.75	24.89
MTS0643	MTS0643	small intergenic RNA	INDIGO_exponential:8%	-0.0443	0.999993460419065	1851.48	2069	1791	1819	1792	1794	152.07	157.61
rsmA	Rv3912	anti-sigma-M factor RsmA	hypoxia_late:30%; ctl_stationary:10%	-0.044	0.999996300217143	1823.18	1862	1816	1719	1858	1863	14.93	15.54
moeW	Rv2338c	molybdopterin biosynthesis protein MoeW	hypoxia_late:15%	-0.0366	0.999989787216477	1809.85	1710	1940	1784	1810	1809	65.72	67.82
Rv0023	Rv0023	transcriptional regulator	hypoxia_late:14%	-0.034	0.999989558011233	1795.75	1614	1943	1765	1825	1840	96.95	99.86
Rv1910c	Rv1910c	hypothetical protein	acidic_tyloxopol:11%; hypoxia_late:10%	-0.0381	0.999992746813662	1801.17	1703	1862	1795	1803	1845	59.8	61.75
Rv3699	Rv3699	hypothetical protein	cholesterol:16%	-0.0342	0.999984274521787	1805.62	1747	1954	1802	1772	1757	188.2	193.76
Rv2975c	Rv2975c	hypothetical protein	hypoxia_late:15%	-0.0378	0.99998702742632	1819.4	1865	1921	1810	1741	1763	278.59	287.4
Rv3387	Rv3387	transposase	hypoxia_late:29%; ctl_stationary:10%	-0.0421	0.999996288177286	1800.92	1782	1729	1820	1809	1866	24.22	25.1
ilvD	Rv0189c	dihydroxy-acid dehydratase	PBS_RIF_DDmtb:9%	-0.0309	0.99998028300346	1795.22	1651	1998	1816	1821	1700	307.76	316.12
cysK1	Rv2334	O-acetylserine sulfhydrylase	high_iron:14%; tyloxopol:12%; INDIGO_exponential:12%	-0.034	0.999989274613287	1790.16	1725	1793	1812	1883	1740	545.92	562.67
Rv1353c	Rv1353c	HTH-type transcriptional regulator	hypoxia_late:14%; acidic_tyloxopol:12%	-0.0422	0.99999453597911	1807.53	1804	1804	1785	1795	1850	30.07	31.17
csm5	Rv2819c	CRISPR type III-associated RAMP protein Csm5	hypoxia_late:17%	-0.0397	0.999994467268117	1793.32	1781	1717	1828	1845	1797	38.41	39.79
Rv3403c	Rv3403c	hypothetical protein	low_iron:30%	-0.0382	0.999986748549304	1821.13	1945	1853	1843	1727	1742	58.47	60.37
Rv3658c	Rv3658c	transmembrane protein	hypoxia_late:19%	-0.0377	0.999986948125083	1815.24	1834	1927	1750	1756	1812	60.53	62.5
Rv1919c	Rv1919c	hypothetical protein	ctl_exponential:15%; acidic:13%	-0.0357	0.999983056392439	1812.29	1850	1907	1850	1724	1734	334	343.99
PE29	Rv3022A	PE family protein PE29	hypoxia_late:56%; microaerophilic:16%	-0.0479	0.999999559417392	1762.96	1787	1398	1831	1888	1939	8.33	8.71
vapC1	Rv0065	ribonuclease VapC1	ctl_stationary:11%	-0.0417	0.999989279797774	1835.05	2014	1826	1747	1780	1814	118.71	123.02
fdxB	Rv3554	electron transfer protein FdxB	human_sputum:17%; hypoxia_late:13%	-0.0374	0.999988224599218	1803.33	1830	1837	1851	1750	1750	52.77	54.42
Rv3551	Rv3551	CoA-transferase subunit alpha	human_sputum:33%; hypoxia_late:13%; hypoxia_fatty_acids:12%	-0.0381	0.999991984710266	1791.94	1686	1844	1739	1830	1864	44.02	45.52
asnT	Rvnt25	tRNA-Asn	hypoxia_late:24%; tyloxopol:12%; butyrate:12%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	-0.0593	0.999999999920405	1663.99	1833	857	1936	2044	1820	8.08	8.51
Rv3196A	Rv3196A	hypothetical protein	acidic:14%; ctl_exponential:12%	-0.0425	0.999993093935325	1810.71	1926	1755	1859	1734	1783	211.26	218.53
Rv3675	Rv3675	membrane protein	acidic:13%	-0.0411	0.999992367752124	1808.25	1922	1741	1898	1725	1760	205.85	212.65
fadE2	Rv0154c	acyl-CoA dehydrogenase FadE2	zinc_limitation:10%	-0.0337	0.999980332840176	1799.93	1733	1961	1836	1737	1738	155.48	159.96
rmlA	Rv0334	glucose-1-phosphate thymidylyltransferase	hypoxia_late:11%; human_sputum:10%	-0.037	0.999989001840256	1789.78	1714	1852	1736	1822	1827	71.27	73.62
Rv3637	Rv3637	transposase	PBS_RIF_DDmtb:25%; hypoxia_late:24%; ctl_stationary:18%	-0.0608	0.999999309754192	1833.65	2114	1611	1746	1893	1823	4.32	4.64
nanT	Rv1902c	sialic acid-transport integral membrane protein NanT	human_sputum:10%	-0.0377	0.999985000833899	1795.43	1793	1859	1778	1797	1751	87.11	89.99
Rv1752	Rv1752	hypothetical protein	INDIGO_exponential:11%; hypoxia_late:11%; high_iron:11%	-0.0374	0.999986922351003	1778.72	1696	1879	1780	1770	1771	161.65	166.79
moaR1	Rv3124	transcriptional regulator MoaR	hypoxia_late:16%; human_sputum:15%; ctl_stationary:14%	-0.0484	0.99999658216449	1795.91	1905	1692	1782	1771	1833	9.57	9.99
Rv3230c	Rv3230c	stearoyl-CoA 9-desaturase electron transfer protein	zinc_limitation:19%; PBS_RIF_DDmtb:11%	-0.0335	0.999975137333169	1784.41	1717	1948	1800	1786	1677	383.69	394.85
Rv3327	Rv3327	transposase fusion protein	hypoxia_late:18%; ctl_stationary:10%	-0.0402	0.999985846934362	1803.76	1925	1829	1730	1760	1778	32.21	33.38
Rv2983	Rv2983	2-phospho-L-lactate guanylyltransferase	hypoxia_late:35%	-0.0443	0.99999429869397	1780.8	1785	1715	1856	1729	1821	38.37	39.78
Rv2563	Rv2563	glutamine ABC transporter permease	hypoxia_late:13%	-0.0393	0.999986888169222	1790.3	1808	1841	1862	1710	1733	86.73	89.53
MT3630	MT3630	hypothetical protein	hypoxia_late:42%	-0.0466	0.999995989351439	1774.2	1761	1683	1749	1798	1883	62.28	64.72
Rv2021c	Rv2021c	transcriptional regulator	hypoxia_fatty_acids:21%	-0.0407	0.999991640598486	1772.4	1657	1850	1779	1766	1813	121.99	126.19
nuoK	Rv3155	NADH-quinone oxidoreductase subunit K	human_sputum:14%; high_iron:13%; butyrate_plus_glucose:11%; tyloxopol:11%	-0.0423	0.999991507767043	1782.77	1923	1626	1776	1853	1743	287.02	297.78
parE1	Rv1959c	toxin ParE1	hypoxia_fatty_acids:24%; ctl_stationary:11%	-0.0407	0.999991541099401	1769.35	1673	1818	1680	1832	1848	91.74	94.98
Rv3467	Rv3467	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	-0.0429	0.99999323133869	1767.39	1790	1618	1748	1856	1830	45.17	46.97
fadB	Rv0860	fatty oxidation protein FadB	cholesterol:15%	-0.0359	0.999977640472872	1773.72	1743	1867	1789	1783	1689	634.41	654.14
Rv0461	Rv0461	transmembrane protein	human_sputum:10%	-0.0418	0.999991921593631	1772	1802	1688	1881	1733	1759	179.09	185.04
Rv1501	Rv1501	hypothetical protein	human_sputum:11%	-0.0387	0.99998645290827	1773.94	1688	1888	1809	1735	1753	90.83	93.82
sodA	Rv3846	superoxide dismutase	acidic_tyloxopol:12%	-0.0402	0.999986742666717	1780.8	1812	1798	1854	1707	1735	175.84	181.63
MT3580.1	MT3580.1	hypothetical protein	hypoxia_late:14%	-0.0566	0.999999814632103	1739.79	1745	1325	1763	1914	1993	19.95	21.05
groEL1	Rv3417c	chaperonin GroEL	microaerophilic:22%; hypoxia_fatty_acids:13%	-0.0373	0.99998757235118	1748.05	1681	1709	1790	1873	1691	347.09	358.71
nirD	Rv0253	nitrite reductase small subunit NirD	nutrient_limitation:19%; hypoxia_late:11%	-0.0463	0.999992501589864	1795.01	1829	1838	1752	1752	1805	48.23	50.1
Rv3241c	Rv3241c	hypothetical protein	acidic:14%; cholesterol:10%	-0.0481	0.999997300283588	1757.45	1867	1441	1837	1831	1831	108.82	113.42
Rv0094c	Rv0094c	hypothetical protein	hypoxia_late:21%; ctl_stationary:13%; butyrate:11%	-0.043	0.999992655587194	1766.29	1796	1624	1745	1849	1822	45.06	46.86
oppA	Rv1280c	oligopeptide ABC transporter substrate-binding lipoprotein OppA	human_sputum:10%	-0.033	0.999974804450286	1757.29	1595	1934	1774	1778	1714	153.94	158.41
MT2142	MT2142	hypothetical protein	human_sputum:9%	-0.0407	0.999992606371467	1755.84	1649	1706	1757	1839	1832	205.7	213.12
Rv0654	Rv0654	carotenoid cleavage oxygenase	hypoxia_fatty_acids:50%	-0.0382	0.999986096929422	1758.65	1678	1814	1729	1784	1790	42	43.42
rpfC	Rv1884c	resuscitation-promoting factor RpfC	tyloxopol:15%; high_iron:14%; butyrate_plus_glucose:11%	-0.0354	0.999965825612837	1781.31	1826	1935	1805	1718	1630	2457.43	2530.85
fadE13	Rv0975c	acyl-CoA dehydrogenase FadE13	microaerophilic:70%	-0.0407	0.999988170114185	1765.12	1736	1773	1740	1791	1786	42.4	43.95
Rv0381c	Rv0381c	hypothetical protein	ctl_exponential:9%	-0.0364	0.999972342564877	1764.57	1691	1939	1793	1714	1692	188.17	194.01
phoY1	Rv3301c	phosphate transport system transcriptional regulator PhoY	INDIGO_exponential:10%	-0.0359	0.99997188631404	1763.91	1705	1903	1744	1745	1726	212.06	218.63
Rv1287	Rv1287	HTH-type transcriptional regulator	acidic_tyloxopol:24%; hypoxia_fatty_acids:13%	-0.0461	0.999990228545209	1784.23	1920	1730	1844	1695	1737	99.17	102.93
lipL	Rv1497	esterase LipL	hypoxia_hypoxic:10%	-0.0339	0.999970250411549	1752.52	1609	1924	1761	1805	1672	416.86	429.34
arfB	Rv0900	membrane protein	ctl_stationary:7%	-0.0479	0.999993277484211	1766.21	1894	1609	1713	1793	1829	108.07	112.34
Rv3192	Rv3192	hypothetical protein	hypoxia_late:22%	-0.0424	0.999991093916642	1744.83	1610	1783	1674	1812	1851	58.56	60.74
trmD	Rv2906c	tRNA (guanine-N1)-methyltransferase	hypoxia_late:9%	-0.0442	0.999983997710743	1777.47	1919	1720	1735	1776	1741	155.04	161.02
prrB	Rv0902c	two component sensor histidine kinase PrrB	cholesterol:8%	-0.0346	0.999965793787002	1739.51	1573	1910	1754	1762	1707	167.57	172.71
Rv3483c	Rv3483c	hypothetical protein	hypoxia_late:11%	-0.0398	0.999977419042783	1757.28	1716	1871	1773	1719	1710	166.91	172.53
cyp135A1	Rv0327c	cytochrome P450 Cyp135A1	hypoxia_fatty_acids:39%; hypoxia_late:16%	-0.0495	0.999992841112043	1759.77	1859	1650	1705	1765	1824	11.87	12.43
MT2726	MT2726	hypothetical protein	hypoxia_late:21%; ctl_stationary:16%; PBS_RIF_DDmtb:10%	-0.0388	0.999981264185097	1737.04	1544	1896	1727	1726	1802	26.09	26.99
hsdM	Rv2756c	type I restriction/modification system DNA methylase HsdM	hypoxia_late:26%	-0.0373	0.999977556877876	1726.03	1571	1786	1753	1789	1736	97.97	101.22
dedA	Rv2637	transmembrane protein DedA	hypoxia_late:12%	-0.049	0.999993923878217	1744.19	1877	1540	1886	1685	1745	57.82	60.07
rpmG2	Rv0634B	50S ribosomal protein L33	human_sputum:20%; ctl_exponential:12%; hypoxia_rar:12%	-0.0452	0.999980582199753	1780.75	1971	1792	1824	1644	1682	568.81	589.35
Rv2180c	Rv2180c	integral membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	-0.0427	0.999988631307178	1734.04	1652	1750	1710	1761	1799	34.76	36.05
vapC48	Rv3697c	ribonuclease VapC48	hypoxia_late:8%	-0.0448	0.999983609073891	1764.06	1888	1749	1825	1669	1694	137.77	142.75
PE35	Rv3872	PE family protein PE35	hypoxia_rar:11%; human_sputum:10%	-0.0355	0.999967645744652	1728.05	1572	1874	1720	1753	1728	653.12	673.35
Rv3067	Rv3067	hypothetical protein	zinc_limitation:13%	-0.0434	0.999983896303656	1755.36	1824	1764	1696	1739	1755	94.33	97.8
Rv2639c	Rv2639c	integral membrane protein	ctl_stationary:13%	-0.0456	0.999986989871547	1754.72	1866	1675	1687	1774	1775	129.13	134.28
MT2993	MT2993	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	-0.0586	0.999997688651854	1755.06	1885	1558	1645	1819	1881	31.02	32.62
egtD	Rv3701c	histidine-specific methyltransferase EtgD	hypoxia_late:11%	-0.0381	0.999969642294211	1732.08	1683	1817	1708	1749	1705	161.41	166.85
Rv1682	Rv1682	hypothetical protein	nutrient_limitation:19%; PBS_RIF_DDmtb:11%	-0.0425	0.999983672121824	1738.59	1757	1751	1663	1759	1764	41.78	43.36
Rv2879c	Rv2879c	conserved hypothetical protein	PBS_RIF_DDmtb:12%	-0.0378	0.999955276054243	1758.22	1828	1880	1738	1736	1615	590.94	610.26
