GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
Rv3776	Rv3776	hypothetical protein	hypoxia_late:19%	0.039	0.999999211850192	1967.33	1752	2044	1849	2265	1946	107.84	103.84
sirA	Rv2391	sulfite reductase	nutrient_limitation:10%	0.0323	0.999999625619193	1885.7	1680	1525	2081	2266	1924	731.41	710.12
Rv1313c	Rv1313c	insertion sequence element IS1557 transposase	hypoxia_late:10%	0.0348	0.999998584126878	1961.56	1816	2049	1766	2281	1917	221.24	214.12
vapB13	Rv1839c	antitoxin VapB13	human_sputum:11%	0.0469	0.999999598486884	1986.19	2093	1821	2030	2103	1892	116.55	112.29
cmaA1	Rv3392c	cyclopropane mycolic acid synthase CmaA	hypoxia_late:12%; tyloxopol:10%	0.038	0.999999607141648	1925.15	1766	1776	2061	2091	1944	57.08	55.35
MT0910.1	MT0910.1	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:27%	0.0758	0.999999999996924	1905.53	1808	866	1809	3093	2320	9.14	8.21
Rv1914c	Rv1914c	hypothetical protein	hypoxia_late:12%	0.0411	0.999999705666591	1945.71	1880	1681	1787	2416	2004	79.83	76.73
Rv2991	Rv2991	hypothetical protein	nutrient_limitation:10%	0.0455	0.999999422362227	2016.86	2236	1903	2001	2065	1889	77.65	74.87
Rv1989c	Rv1989c	hypothetical protein	PBS_RIF_DDmtb:14%; acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	0.04	0.999999399781674	1978.55	2076	1816	1879	2203	1931	81.84	78.96
cyp137	Rv3685c	cytochrome P450 Cyp137	PBS_RIF_DDmtb:11%	0.0369	0.99999886907805	1993.19	1798	2194	1856	2245	1894	144.44	139.54
oppC	Rv1282c	oligopeptide ABC transporter permease OppC	hypoxia_late:8%	0.0383	0.999999395014026	1984.08	1762	2092	1792	2314	1986	98.95	95.35
MT2371	MT2371	hypothetical protein	hypoxia_late:70%	0.0697	0.999999999984292	1902.55	2158	1172	1953	2336	2014	9.48	8.85
acpS	Rv2523c	holo-ACP synthase	hypoxia_rar:9%	0.0357	0.999999187178634	1978.52	1794	2083	1870	2233	1928	282.35	273.43
gpdA1	Rv0564c	glycerol-3-phosphate dehydrogenase	PBS_RIF_DDmtb:15%; ctl_stationary:12%	0.0409	0.999999107016467	2041.79	2072	2191	1924	2148	1883	75.9	73.18
malQ	Rv1781c	4-alpha-glucanotransferase	hypoxia_late:14%	0.0398	0.999998705692245	2055.41	2104	2297	1915	2147	1831	79.63	76.78
hycD	Rv0084	formate hydrogenlyase HycD	hypoxia_late:9%	0.0437	0.999998965571159	2072.38	2218	2287	1979	2076	1819	139.43	134.05
Rv3677c	Rv3677c	beta lactamase	INDIGO_exponential:9%	0.0375	0.999998947536171	2020.73	1896	2248	1957	2186	1833	350.82	338.96
fadD24	Rv1529	fatty-acid--CoA ligase FadD24	ctl_stationary:12%; hypoxia_late:11%	0.0407	0.999999277158087	2034.99	2066	2077	1783	2309	1958	44.59	42.82
Rv1019	Rv1019	transcriptional regulator	ctl_stationary:10%	0.0372	0.999999492122462	1975.82	1841	1966	1984	2163	1932	125.79	121.87
lysA	Rv1293	diaminopimelate decarboxylase	INDIGO_exponential:8%	0.0372	0.999999154586426	2007.99	1892	2084	1974	2244	1858	244.01	235.95
vapB40	Rv2595	antitoxin VapB40	human_sputum:15%	0.0458	0.999999459031311	2060.56	2137	2179	2047	2098	1850	289.19	277.63
MT0910.2	MT0910.2	hypothetical protein	PBS_RIF_DDmtb:30%; hypoxia_late:27%; ctl_stationary:12%	0.0494	0.999999997396308	1858.45	1853	1095	2183	2013	2287	14.65	13.91
MT1170	MT1170	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:20%	0.0473	0.99999994906365	1949.3	2107	1527	1774	2267	2120	14.18	13.56
lppC	Rv1911c	lipoprotein LppC	acidic_tyloxopol:10%	0.0377	0.999999238727215	2027.54	1932	2167	1993	2179	1876	278.36	269.06
Rv3233c	Rv3233c	conserved hypothetical protein	high_iron:9%	0.0391	0.999999761192334	1972.68	1882	1786	2096	2154	1957	88.3	85.48
dppA	Rv3666c	dipeptide ABC transporter substrate-binding lipoprotein DppA	hypoxia_late:12%; PBS_RIF_DDmtb:10%	0.046	0.999999433022004	2073.03	2134	2304	2062	2043	1836	53.49	51.29
Rv1126c	Rv1126c	hypothetical protein	human_sputum:10%	0.0376	0.999999548179956	1988.44	1894	1881	1814	2398	1981	132.46	127.73
Rv0397	Rv0397	hypothetical protein	hypoxia_late:36%	0.0418	0.999999900537923	1950.12	1768	1602	1906	2486	2044	57.83	55.5
Rv0779c	Rv0779c	transmembrane protein	hypoxia_late:35%	0.0519	0.999999400323905	2109.62	2331	2415	2002	2004	1825	63.03	60.13
Rv0517	Rv0517	acyltransferase	hypoxia_late:12%	0.0372	0.999998919177716	2048.41	2035	2245	1843	2237	1899	107.23	103.6
ppm1	Rv2051c	polyprenol-monophosphomannose synthase	microaerophilic:13%	0.0317	0.999999308512685	1968.28	1895	1795	1918	2331	1923	258.56	251.03
MT2722	MT2722	hypothetical protein	PBS_RIF_DDmtb:15%	0.0669	0.99999999996369	1923.97	2078	1477	1690	2413	2031	23.39	21.91
Rv3831	Rv3831	hypothetical protein	butyrate_plus_glucose:41%; butyrate:13%	0.0394	0.999999881231274	1961.9	1706	1761	2141	2270	1961	75.36	72.9
egtD	Rv3701c	histidine-specific methyltransferase EtgD	hypoxia_late:11%	0.0333	0.99999956149876	1961.98	1909	1717	2012	2255	1936	129.72	125.9
lpqQ	Rv0835	lipoprotein LpqQ	human_sputum:16%; ctl_stationary:10%	0.043	0.999999851136446	1993.44	1780	1840	1944	2438	1997	48.62	46.53
Rv2331	Rv2331	hypothetical protein	nutrient_limitation:11%	0.0449	0.999999826086903	2029.11	1888	2068	2101	2192	1905	101.93	97.89
Rv1685c	Rv1685c	hypothetical protein	hypoxia_late:10%	0.0423	0.999999831221174	2001.07	1886	1745	1841	2526	2052	83.96	80.32
sapM	Rv3310	acid phosphatase	tyloxopol:10%	0.034	0.999999333507196	2005.13	2063	1856	2010	2204	1902	236.58	229.5
Rv0380c	Rv0380c	RNA methyltransferase	butyrate_plus_glucose:9%	0.0383	0.999999527374843	2036.78	1877	2136	1964	2292	1929	246.29	237.62
Rv3749c	Rv3749c	hypothetical protein	acidic_tyloxopol:14%	0.039	0.999999408441564	2055.71	2126	2134	1928	2160	1937	105.3	101.77
Rv3493c	Rv3493c	Mce associated protein	hypoxia_late:13%	0.0348	0.999999756475365	1964.52	1717	1754	2008	2411	1970	190.61	184.59
pepE	Rv2089c	dipeptidase PepE	hypoxia_late:31%; ctl_stationary:11%	0.0434	0.99999978247074	2052.6	1914	2107	1995	2353	1910	17.72	16.97
Rv0487	Rv0487	hypothetical protein	hypoxia_late:10%	0.0379	0.999999721522796	2008.8	1837	1921	1926	2387	1995	156.53	150.83
secY	Rv0732	preprotein translocase SecY	tyloxopol:12%	0.0403	0.999999644873486	2054.45	2061	1944	2041	2339	1901	287.15	277.09
glyS	Rv2357c	glycine--tRNA ligase	hypoxia_late:14%	0.0393	0.999999229387385	2094.4	2135	2296	1933	2213	1909	130.31	125.5
Rv3813c	Rv3813c	hypothetical protein	hypoxia_late:11%	0.039	0.999999546745143	2055.78	2015	2064	1884	2345	1985	148.67	143.05
cobD	Rv2236c	cobalamin biosynthesis transmembrane protein CobD	hypoxia_late:31%	0.0424	0.999999373620029	2103.44	2202	2329	1888	2210	1907	49.98	48.05
PPE53	Rv3159c	PPE family protein PPE53	microaerophilic:24%; ctl_stationary:14%; nutrient_limitation:10%	0.0335	0.999999487924982	2012.48	1969	1949	1868	2320	1971	54.86	53.16
Rv0955	Rv0955	integral membrane protein	ctl_exponential:8%	0.0369	0.999998795770837	2098.44	2211	2315	1877	2228	1882	310.96	300.36
pepR	Rv2782c	zinc protease	high_iron:10%	0.0309	0.999999288886387	2028.36	1883	2130	1806	2394	1955	521.02	505.76
pckA	Rv0211	phosphoenolpyruvate carboxykinase	zinc_limitation:10%	0.0299	0.999999404783458	1998.5	1836	1963	1866	2400	1952	637.33	619.5
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.0364	0.999999854716524	1988.23	1855	1678	1999	2408	2037	81.77	78.88
atpC	Rv1311	ATP synthase subunit epsilon	ctl_exponential:15%; INDIGO_exponential:12%	0.0315	0.999999811263535	1966.4	1807	1624	2110	2369	1963	1507.75	1464.45
Rv1254	Rv1254	acyltransferase	hypoxia_fatty_acids:9%	0.0318	0.999999588908343	2001.59	1842	1929	1864	2406	1992	110.96	107.64
fadA3	Rv1074c	beta-ketoacyl CoA thiolase FadA	PBS_RIF_DDmtb:10%	0.0304	0.999999532344354	1997.7	1839	1891	1938	2395	1949	534.28	519.14
argC	Rv1652	N-acetyl-gamma-glutamyl-phoshate reductase	hypoxia_late:23%; hypoxia_hypoxic:10%	0.041	0.999999905405682	2024.51	1803	1974	2144	2273	1945	61.34	58.91
PPE45	Rv2892c	PPE family protein PPE45	hypoxia_late:26%; PBS_RIF_DDmtb:12%; ctl_stationary:10%	0.0378	0.999999506351399	2089.18	2092	2271	1805	2325	1975	34.18	32.95
htdY	Rv3389c	3-hydroxyacyl-thioester dehydratase HtdY	ctl_exponential:11%	0.0327	0.99999948603026	2055.52	1989	2071	1883	2383	1969	454.73	440.61
Rv2926c	Rv2926c	hypothetical protein	cholesterol:10%	0.0325	0.999999394957692	2068.57	2005	2171	1851	2368	1967	483.34	468.42
php	Rv0230c	phosphotriesterase	human_sputum:15%; hypoxia_late:10%	0.038	0.999999874447609	2038.86	1878	1845	1986	2453	2060	136.49	131.37
Rv2205c	Rv2205c	hypothetical protein	hypoxia_late:25%; human_sputum:14%	0.0364	0.999999714041395	2068.13	1955	2116	1983	2337	1962	54.99	53.14
Rv1324	Rv1324	thioredoxin	INDIGO_exponential:14%	0.0285	0.999999490925867	2008.34	1783	2019	1846	2441	1984	811.34	789.4
esxA	Rv3875	ESAT-6 protein EsxA	acidic:16%; zinc_limitation:12%	0.0306	0.999999780291291	1999.8	1854	1726	2044	2419	1989	9594.68	9324.17
xseB	Rv1107c	exodeoxyribonuclease VII small subunit	INDIGO_exponential:10%	0.0298	0.999999794745163	1992.71	1879	1709	2103	2332	1968	492.1	479.07
Rv3208	Rv3208	TetR family transcriptional regulator	tyloxopol:11%	0.0365	0.999999654131197	2082.27	1977	2157	2072	2297	1919	317.95	307.57
cut5a	Rv3724A	cutinase precursor cut5a	ctl_stationary:11%; microaerophilic:10%	0.0342	0.999999811908741	2042.24	2021	1863	2088	2268	1982	251.2	243.82
Rv0572c	Rv0572c	hypothetical protein	ctl_stationary:17%; hypoxia_hypoxic:13%; hypoxia_late:11%	0.0357	0.999999992654537	1899.5	1490	1371	2236	2454	2067	65.37	63.57
Rv3735	Rv3735	hypothetical protein	hypoxia_fatty_acids:10%	0.0293	0.999999645921129	2030.52	1769	2126	1782	2498	2020	221.93	215.76
Rv1137c	Rv1137c	hypothetical protein	PBS_RIF_DDmtb:29%; hypoxia_late:18%	0.0546	0.999999999915932	1956.12	2144	1496	1936	2504	1774	13.67	13.02
PE_PGRS39	Rv2340c	PE-PGRS family protein PE_PGRS39	hypoxia_late:14%	0.0366	0.999999885787476	2053.98	1781	1969	2018	2483	2050	91.24	87.89
Rv1063c	Rv1063c	NTE family protein	hypoxia_late:13%	0.0342	0.999999795478896	2060.07	1898	2009	1905	2451	2061	140.15	135.36
Rv2709	Rv2709	transmembrane protein	PBS_RIF_DDmtb:8%	0.0309	0.99999985435647	2007.35	1916	1665	2048	2428	2017	227.74	221.2
Rv1714	Rv1714	oxidoreductase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	0.0391	0.999999926079096	2060.26	1904	1857	1991	2505	2075	48.07	46.1
vapB43	Rv2871	antitoxin VapB43	ctl_stationary:25%	0.036	0.999999816067535	2076.71	1862	2217	1970	2347	2006	171.78	166.26
Rv0750	Rv0750	hypothetical protein	human_sputum:9%	0.0383	0.999999844510023	2097.24	1965	2201	2006	2330	1996	135.23	130.67
hsdS	Rv2761c	type I restriction/modification system specificity determinant HsdS	ctl_stationary:9%	0.03	0.999999799944333	2041.98	1861	1935	1908	2490	2046	119.25	115.77
mbtL	Rv1344	acyl carrier protein MbtL	low_iron:21%; human_sputum:13%	0.0333	0.999999953930163	1983.33	1640	1748	2221	2311	2040	135.96	131.6
Rv1517	Rv1517	hypothetical protein	human_sputum:16%; hypoxia_late:12%; microaerophilic:12%	0.0447	0.999999943932368	2097.63	2060	1985	1880	2624	1978	13.93	13.27
vapC46	Rv3384c	ribonuclease VapC46	high_iron:9%	0.0422	0.999999650704946	2164.71	2277	2370	1950	2299	1947	170.87	163.99
phoY2	Rv0821c	phosphate-transport system transcriptional regulator PhoY2	nutrient_limitation:15%	0.0285	0.999999728998933	2054.23	1998	1870	2027	2402	1993	671.29	653.48
lppF	Rv1921c	lipoprotein LppF	hypoxia_late:14%; acidic_tyloxopol:11%	0.0374	0.999999929385369	2068.68	1926	1941	1897	2597	2021	18.09	17.37
aglA	Rv2471	alpha-glucosidase AglA	hypoxia_late:9%	0.0297	0.999999694486683	2071.16	2008	2001	1971	2388	2002	114.28	111.09
Rv0333	Rv0333	hypothetical protein	tyloxopol:8%	0.0382	0.999999679683629	2142.81	2174	2345	2053	2224	1930	157.13	151.79
clgR	Rv2745c	transcriptional regulator ClgR	ctl_stationary:25%; hypoxia_fatty_acids:20%; microaerophilic:11%	0.0386	0.999999506550818	2170.45	2292	2440	2068	2200	1874	886.09	855
engA	Rv1713	GTPase Der	high_iron:10%	0.0304	0.999999742187088	2078.47	1817	2196	1907	2464	2039	233.36	226.37
PE_PGRS24	Rv1325c	PE-PGRS family protein PE_PGRS24	hypoxia_late:24%; microaerophilic:18%	0.0332	0.999999547660038	2116.92	2034	2338	1919	2341	1972	77.43	74.99
argF	Rv1656	ornithine carbamoyltransferase	hypoxia_late:17%; hypoxia_hypoxic:10%	0.033	0.999999871406154	2071.57	1906	1991	1862	2522	2109	83.97	81.12
nusB	Rv2533c	N utilization substance protein B	hypoxia_rar:8%	0.0305	0.999999621164525	2103.3	2085	2145	1825	2457	2029	476.95	462.82
MT2924	MT2924	hypothetical protein	hypoxia_late:18%	0.0355	0.999999896520887	2081.58	1931	2143	1784	2465	2116	46.35	44.74
Rv0895	Rv0895	diacyglycerol O-acyltransferase	hypoxia_late:38%; ctl_stationary:11%; human_sputum:10%	0.0368	0.999999951186162	2063.34	1944	1769	1945	2631	2077	20.63	19.79
mbtM	Rv1345	long-chain-fatty-acid--ACP ligase MbtM	low_iron:33%	0.0367	0.999999337975128	2181.09	2379	2424	1969	2248	1911	149.9	144.75
PE_PGRS43	Rv2490c	PE-PGRS family protein PE_PGRS43	hypoxia_late:61%	0.0357	0.999999558491595	2148.08	2220	2360	1961	2296	1922	15.19	14.65
Rv3225c	Rv3225c	GCN5-like N-acetyltransferase	PBS_RIF_DDmtb:12%	0.0315	0.999999836614744	2081.14	2030	1901	1996	2448	2051	170.82	165.59
Rv0799c	Rv0799c	hypothetical protein	hypoxia_late:10%	0.0321	0.999999604435614	2116.63	2019	2302	1980	2338	1960	166.96	162.02
rphA	Rv1340	ribonuclease PH	hypoxia_rar:8%	0.029	0.999999661267635	2092.56	2038	2085	1947	2409	1999	345.86	336.36
Rv2354	Rv2354	transposase	hypoxia_late:33%; ctl_stationary:17%	0.0364	0.999999896138089	2098.33	2155	2055	1927	2323	2042	40.61	39.33
Rv1869c	Rv1869c	reductase	INDIGO_exponential:13%; nutrient_limitation:10%	0.0276	0.999999794252645	2061.29	1976	1853	2032	2450	2019	396.98	386.58
Rv0204c	Rv0204c	transmembrane protein	hypoxia_late:9%	0.0293	0.999999483641729	2109.53	2011	2307	1861	2421	1974	272.32	264.73
Rv3755c	Rv3755c	hypothetical protein	high_iron:8%	0.0341	0.999999733638075	2122.98	1972	2326	2070	2308	1954	245.88	238.22
MT3573.10	MT3573.10	hypothetical protein	microaerophilic:26%; hypoxia_late:19%; cholesterol:10%	0.0504	0.999999999964693	1983.89	2163	1495	1676	2595	2084	53.31	50.69
tlyA	Rv1694	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	hypoxia_late:13%	0.0352	0.999999551584362	2166.49	2263	2364	1916	2334	1976	177.08	171.11
Rv0435c	Rv0435c	ATPase	hypoxia_late:10%	0.0285	0.999999635730283	2105.2	1940	2254	1882	2471	2007	159.99	155.6
MT2617	MT2617	hypothetical protein	acidic:16%	0.0299	0.999999933621933	2044.95	1893	1759	2138	2417	2048	242.42	235.92
nrp	Rv0101	peptide synthetase Nrp	hypoxia_late:12%	0.0314	0.999999478167547	2149.12	2109	2411	1972	2342	1933	44.86	43.5
era	Rv2364c	GTPase Era	PBS_RIF_DDmtb:9%	0.0281	0.99999985177177	2071.55	1864	1975	1975	2525	2049	177.13	172.31
Rv2499c	Rv2499c	oxidase regulatory-like protein	microaerophilic:24%; low_iron:16%	0.031	0.999999781520773	2108.3	2103	2103	1896	2459	2001	106.2	103.22
fmu	Rv1407	methyltransferase	hypoxia_late:24%	0.0294	0.999999739495667	2106.05	1925	2241	1865	2507	2024	88.86	86.3
Rv2876	Rv2876	transmembrane protein	PBS_RIF_DDmtb:52%	0.0395	0.999999818132257	2173.12	2228	2433	2145	2168	1908	352.02	339.14
Rv2629	Rv2629	hypothetical protein	microaerophilic:16%; cholesterol:13%; hypoxia_hypoxic:12%	0.028	0.999999859342265	2072.01	1937	1909	2122	2382	2027	150.14	146.29
espI	Rv3876	ESX-1 secretion-associated protein EspI	human_sputum:15%	0.0264	0.999999808674256	2077.75	1980	1920	1987	2491	2035	213.9	208.45
PE_PGRS28	Rv1452c	PE-PGRS family protein PE_PGRS28	hypoxia_late:46%	0.0325	0.999999862024103	2105.71	1970	2165	2114	2282	2005	23.48	22.79
cstA	Rv3063	carbon starvation protein A	hypoxia_late:17%; ctl_stationary:11%	0.032	0.999999842931456	2107.03	1923	2174	2057	2386	2010	39.45	38.23
fic	Rv3641c	cell filamentation protein Fic	nutrient_limitation:11%; PBS_RIF_DDmtb:10%	0.0333	0.999999925612945	2095.41	2040	1961	2153	2295	2036	55.38	53.84
Rv2978c	Rv2978c	transposase	zinc_limitation:32%; cholesterol:13%	0.0277	0.999999696872268	2106.29	1964	2169	1920	2492	2011	387.81	377.52
dinX	Rv1537	DNA polymerase IV	PBS_RIF_DDmtb:26%; hypoxia_late:21%	0.0392	0.99999981418804	2186.61	2275	2374	2067	2264	1966	34.68	33.39
Rv0874c	Rv0874c	hypothetical protein	hypoxia_late:13%; ctl_stationary:11%	0.0298	0.999999773313615	2114.29	1950	2231	1911	2480	2025	105.24	102.22
MT2092	MT2092	hypothetical protein	cholesterol:26%; hypoxia_fatty_acids:12%; ctl_stationary:10%	0.0358	0.999999988742211	2020.65	1918	1580	2231	2340	2080	74.37	72.42
Rv1101c	Rv1101c	hypothetical protein	tyloxopol:9%	0.0288	0.999999868387239	2093.1	2180	1777	2090	2423	2022	151.42	147.29
purT	Rv0389	phosphoribosylglycinamide formyltransferase PurT	hypoxia_late:20%; ctl_stationary:11%	0.0353	0.999999911026765	2134.94	1953	2148	2031	2476	2085	101.36	97.69
proA	Rv2427c	gamma-glutamyl phosphate reductase	tyloxopol:9%	0.0323	0.999999766489314	2153.72	2083	2274	2056	2392	1977	317.3	307.46
Rv3897c	Rv3897c	hypothetical protein	hypoxia_late:15%	0.0296	0.999999893765713	2100.88	2057	1866	2016	2524	2069	247.03	239.86
PE_PGRS42	Rv2487c	PE-PGRS family protein PE_PGRS42	hypoxia_late:60%	0.0344	0.999999895479638	2140.03	2210	1986	2042	2484	1998	18.94	18.28
yfiH	Rv2149c	laccase domain-containing protein	low_iron:8%	0.0334	0.999999863101582	2148.05	2049	2203	1997	2432	2073	283.39	273.92
Rv1176c	Rv1176c	hypothetical protein	hypoxia_late:18%	0.0388	0.999999907862334	2173.85	2112	2310	2080	2390	1990	66.97	64.48
Rv0760c	Rv0760c	hypothetical protein	tyloxopol:10%	0.0277	0.999999835160457	2114.52	2044	2025	1958	2515	2053	425.74	414.37
fadE12	Rv0972c	acyl-CoA dehydrogenase FadE12	microaerophilic:51%	0.0359	0.999999984248365	2077.34	1733	1898	2015	2616	2177	43.95	42.15
Rv0792c	Rv0792c	transcriptional regulator	hypoxia_fatty_acids:60%	0.0327	0.999999961562399	2099.13	1870	1993	2195	2425	2034	45.31	43.95
Rv1920	Rv1920	membrane protein	acidic_tyloxopol:10%; acidic:10%	0.0265	0.999999923401748	2083.14	1975	1873	2074	2415	2098	67.95	66.27
typA	Rv1165	GTP-binding translation elongation factor	microaerophilic:16%; PBS_RIF_DDmtb:11%	0.0256	0.999999889141363	2098.25	1945	1964	2007	2544	2059	114.89	111.99
Rv2240c	Rv2240c	hypothetical protein	hypoxia_rar:11%; high_iron:10%	0.0298	0.999999918747118	2108.33	1748	2161	2063	2536	2071	354.05	343.61
Rv2628	Rv2628	hypothetical protein	cholesterol:49%; microaerophilic:10%	0.0329	0.999999918609507	2140.77	2191	2081	2085	2286	2065	73.89	71.85
Rv3258c	Rv3258c	hypothetical protein	tyloxopol:11%; ctl_exponential:11%; hypoxia_late:10%	0.0337	0.99999978804283	2193.37	2162	2414	2082	2360	1965	970.51	939.29
lipA	Rv2218	lipoyl synthase	tyloxopol:9%	0.0272	0.999999813372797	2140.58	1990	2261	1871	2540	2072	245.18	238.55
Rv2361c	Rv2361c	decaprenyl diphosphate synthase	zinc_limitation:7%	0.0302	0.999999852016652	2149.48	2120	2120	2071	2430	2018	139.17	135.36
Rv3901c	Rv3901c	membrane protein	ctl_stationary:11%	0.0325	0.999999860125276	2170.34	2156	2330	1904	2427	2055	70.31	68.18
Rv1227c	Rv1227c	transmembrane protein	PBS_RIF_DDmtb:22%; microaerophilic:14%; hypoxia_late:11%	0.0303	0.999999941579591	2107.18	2037	1884	1943	2620	2090	95.12	92.18
Rv1034c	Rv1034c	transposase	hypoxia_late:53%; ctl_stationary:14%	0.0503	0.999999999926772	2082.27	2332	1943	2059	2374	1738	5.43	5.22
Rv2569c	Rv2569c	hypothetical protein	hypoxia_late:21%	0.0381	0.999999913193601	2197.61	2265	2333	2112	2287	2000	37.24	35.85
Rv2484c	Rv2484c	diacyglycerol O-acyltransferase	microaerophilic:18%; acidic:12%; ctl_stationary:10%	0.0289	0.999999962399775	2088.68	1789	1936	2046	2577	2136	186.68	181.2
sigG	Rv0182c	ECF RNA polymerase sigma factor SigG	zinc_limitation:16%	0.0326	0.999999786796383	2198.22	2153	2417	2045	2403	1991	159.49	154.49
Rv0051	Rv0051	transmembrane protein	microaerophilic:9%	0.026	0.999999853631756	2135.75	2096	2042	1973	2534	2056	121.65	118.54
rfbD	Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD	INDIGO_exponential:12%	0.0258	0.999999842606051	2139.22	2045	2131	1982	2500	2057	275.23	268.39
iunH	Rv3393	nucleoside hydrolase	hypoxia_late:19%	0.0332	0.999999813941285	2198.37	2279	2324	1901	2502	2013	58.66	56.75
prpC	Rv1131	methylcitrate synthase PrpC	human_sputum:22%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:15%; acidic_tyloxopol:14%; nutrient_limitation:11%	0.0231	0.999999977575442	2019.86	1634	1283	2267	3159	1994	11.98	11.59
Rv2517c	Rv2517c	hypothetical protein	hypoxia_fatty_acids:32%	0.0335	0.99999996244408	2137	2140	1988	2134	2348	2083	78.56	76.22
recF	Rv0003	DNA replication/repair protein RecF	hypoxia_late:13%; human_sputum:12%	0.0296	0.999999802704906	2178.35	2241	2188	2055	2407	2012	148.13	144.03
MT3921	MT3921	hypothetical protein	hypoxia_late:12%	0.0362	0.999999965373638	2165.52	2229	2166	2004	2290	2144	77.59	75.15
ugpA	Rv2835c	sn-glycerol-3-phosphate ABC transporter permease UgpA	PBS_RIF_DDmtb:35%; hypoxia_late:15%	0.0324	0.99999997000329	2126.86	2146	1848	2023	2553	2095	21.37	20.65
Rv3162c	Rv3162c	integral membrane protein	hypoxia_late:20%	0.0305	0.999999988335874	2076.36	1959	1746	2246	2355	2104	25.99	25.25
MT3846	MT3846	hypothetical protein	nutrient_limitation:59%; PBS_RIF_DDmtb:24%	0.0349	0.999999979631375	2138.77	2259	1907	2239	2322	1983	69.77	68.12
Rv0454	Rv0454	conserved hypothetical protein	human_sputum:9%	0.032	0.99999998335401	2105.55	1865	1886	2233	2532	2047	104.81	101.93
Rv1279	Rv1279	GMC-type oxidoreductase	zinc_limitation:15%	0.0323	0.999999760911696	2226.32	2256	2491	2077	2364	1964	216.8	210.07
sigH	Rv3223c	ECF RNA polymerase sigma factor SigH	zinc_limitation:14%	0.0244	0.99999990954531	2125.63	1907	2096	2040	2531	2079	391.4	382.1
Rv0228	Rv0228	acyltransferase	hypoxia_late:16%	0.0318	0.999999877600729	2199.59	2149	2311	1967	2510	2081	107.25	103.77
Rv2806	Rv2806	membrane protein	hypoxia_late:16%; ctl_stationary:11%	0.0374	0.999999960209737	2197.53	2266	2239	2037	2350	2103	63.26	61.14
lpqW	Rv1166	monoacyl phosphatidylinositol tetramannoside-binding protein LpqW	PBS_RIF_DDmtb:15%	0.0259	0.999999875461751	2165.81	1983	2292	1965	2554	2063	126.14	122.89
MT3436	MT3436	hypothetical protein	hypoxia_late:16%	0.031	0.999999999997836	1960.24	1499	1071	2775	2351	2378	81.64	80.23
Rv3073c	Rv3073c	hypothetical protein	hypoxia_late:13%; ctl_stationary:12%	0.0338	0.999999961257045	2172	2227	2122	2100	2288	2126	57.77	56.1
Rv1191	Rv1191	hypothetical protein	hypoxia_late:22%	0.0338	0.999999882988047	2220.47	2176	2479	2140	2344	1980	118.97	115.19
Rv2912c	Rv2912c	TetR family HTH-type transcriptional regulator	hypoxia_fatty_acids:53%; butyrate:13%	0.0297	0.999999954070736	2153.05	2196	1938	2073	2527	2054	54.19	52.66
MT1746.1	MT1746.1	hypothetical protein	microaerophilic:29%; hypoxia_fatty_acids:28%	0.0254	0.999999999997496	1918.47	1653	670	3074	2259	2449	14.05	14.16
Rv0158	Rv0158	transcriptional regulator	human_sputum:14%	0.0359	0.999999922799062	2221.15	2242	2365	2159	2373	1979	73.39	70.91
mcr	Rv1143	alpha-methylacyl-CoA racemase	PBS_RIF_DDmtb:30%	0.029	0.999999922434421	2179.34	2147	2135	2084	2508	2038	98.01	95.33
pks6	Rv0405	membrane bound polyketide synthase	hypoxia_late:23%; ctl_stationary:11%	0.0256	0.999999944522126	2139.38	2047	1919	2157	2541	2058	101.6	99.1
Rv1190	Rv1190	hypothetical protein	hypoxia_late:40%	0.0344	0.999999983580763	2151.92	1905	2149	1922	2711	2119	19.07	18.31
Rv0575c	Rv0575c	oxidoreductase	hypoxia_late:15%; ctl_stationary:12%; hypoxia_fatty_acids:12%; cholesterol:12%	0.0312	0.999999982311167	2136.32	1901	2076	2222	2458	2045	17.05	16.49
mscR	Rv2259	S-nitrosomycothiol reductase MscR	high_iron:8%	0.0272	0.999999931741418	2167.67	2029	2163	1988	2559	2122	297.92	289.65
Rv0027	Rv0027	hypothetical protein	ctl_stationary:8%	0.0346	0.999999977896826	2172.74	2075	2093	2051	2661	2015	51.93	50.19
Rv0470A	Rv0470A	hypothetical protein	hypoxia_late:16%	0.0374	0.999999994766892	2144.44	1994	1932	2173	2557	2093	42.11	40.66
scpA	Rv1709	segregation and condensation protein ScpA	high_iron:12%	0.0257	0.999999904455079	2174.19	2042	2213	2054	2518	2062	242.75	236.73
