GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_noDrug	Rv1473A_DMSO_noDrug
snzP	Rv2606c	pyridoxine biosynthesis protein	zinc_limitation:11%	-0.0234	0.999999991950531	2049.32	1937	2032	2088	2113	2079	299.38	306.81
Rv1989c	Rv1989c	hypothetical protein	PBS_RIF_DDmtb:14%; acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	-0.0258	0.999999971153523	2110.49	2198	2167	2151	1997	2043	78.22	80.19
Rv3278c	Rv3278c	transmembrane protein	human_sputum:13%; tyloxopol:11%	-0.0271	0.999999992850513	2053.66	1968	2035	2086	2056	2125	145.55	149.92
lipP	Rv2463	esterase/lipase LipP	high_iron:8%	-0.029	0.999999962039781	2137.55	2170	2375	2068	2063	2021	387.75	399.04
rmlC	Rv3465	dTDP-4-dehydrorhamnose 3,5-epimerase	INDIGO_exponential:15%	-0.0255	0.999999972633964	2104.06	2066	2264	2069	2077	2048	256.04	262.88
Rv3046c	Rv3046c	hypothetical protein	butyrate_plus_glucose:12%	-0.0253	0.999999961329062	2115.73	2080	2341	2078	2061	2026	317.65	325.79
Rv1752	Rv1752	hypothetical protein	INDIGO_exponential:11%; hypoxia_late:11%; high_iron:11%	-0.0285	0.999999956601213	2132.28	2165	2390	2030	2048	2039	158.56	163.21
Rv2036	Rv2036	hypothetical protein	hypoxia_fatty_acids:47%	-0.0274	0.99999998611162	2082.98	2217	1985	2119	2008	2090	38.26	39.28
MT3149.1	MT3149.1	hypothetical protein	hypoxia_late:25%; ctl_stationary:10%	-0.0063	0.999999988317557	1931.58	2718	1075	2306	1814	1955	13.46	13.35
Rv1507c	Rv1507c	hypothetical protein	hypoxia_late:10%	-0.0249	0.99999997785255	2070.9	1999	2155	2064	2081	2057	95.26	97.74
Rv3008	Rv3008	hypothetical protein	ctl_stationary:8%	-0.0251	0.999999980841591	2066.89	2012	2102	2073	2085	2063	160.74	164.96
Rv3208	Rv3208	TetR family transcriptional regulator	tyloxopol:11%	-0.0238	0.999999975819457	2070.23	1903	2260	2054	2095	2047	268.92	275.65
secF	Rv2586c	protein translocase subunit SecF	cholesterol:9%	-0.0284	0.999999875859542	2152.65	2302	2471	2007	2036	1969	527.99	542.84
acs	Rv3667	acetyl-CoAsynthetase	hypoxia_late:8%	-0.0242	0.99999999580984	1993.11	1837	1825	2106	2107	2102	55.82	57.29
miaA	Rv2727c	tRNA delta(2)-isopentenylpyrophosphate transferase	microaerophilic:23%; hypoxia_late:17%	-0.0267	0.999999935528195	2121.94	2105	2426	2048	2034	2010	77.39	79.48
pimE	Rv1159	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside	hypoxia_late:8%	-0.0249	0.999999980270886	2062.31	2020	2072	2085	2091	2044	93.93	96.36
sigK	Rv0445c	ECF RNA polymerase sigma factor SigK	PBS_RIF_DDmtb:9%	-0.0265	0.99999995792185	2107.02	2127	2294	2003	2068	2049	144.9	148.9
MT0910.1	MT0910.1	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:27%	-0.0423	0.999999999987306	2052.7	2274	1990	1893	2079	2037	10.13	10.63
Rv1205	Rv1205	hypothetical protein	hypoxia_late:13%; human_sputum:11%	-0.0267	0.999999968507921	2090.97	1996	2307	2066	2073	2020	97.49	100.11
Rv0331	Rv0331	dehydrogenase/reductase	hypoxia_fatty_acids:54%; butyrate:10%	-0.0247	0.9999999978729	1970.92	2079	1617	2326	1768	2106	30.19	30.95
Rv3635	Rv3635	transmembrane protein	hypoxia_late:22%; PBS_RIF_DDmtb:10%	-0.0297	0.999999969933341	2093.4	2103	2227	2027	2044	2069	31.71	32.74
amiA1	Rv3305c	N-acyl-L-amino acid amidohydrolase AmiA	high_iron:9%	-0.0256	0.999999916616533	2102.19	2077	2363	2034	2057	1990	154.27	158.27
frdA	Rv1552	fumarate reductase flavoprotein subunit	hypoxia_late:26%; acidic_tyloxopol:10%	-0.0227	0.999999999980589	1903.52	1684	1308	2189	2187	2246	6.31	6.52
MT3718.2	MT3718.2	hypothetical protein	hypoxia_late:30%; ctl_stationary:22%; PBS_RIF_DDmtb:14%	-0.0455	0.999999999998823	2037.77	2393	1649	2201	1697	2311	2.88	3.02
thrU	Rvnt39	tRNA-Thr	hypoxia_late:25%	-0.022	0.999999999999494	1879.35	2053	866	2128	2353	2245	24.43	25.63
Rv3749c	Rv3749c	hypothetical protein	acidic_tyloxopol:14%	-0.0266	0.99999993296158	2095.4	2072	2344	2008	2045	2017	128.79	132.25
csm3	Rv2821c	CRISPR type III-associated RAMP protein Csm3	human_sputum:11%	-0.0279	0.999999999736107	1935.37	1918	1415	2121	2143	2135	66.33	68.31
Rv1431	Rv1431	hypothetical protein	hypoxia_late:16%	-0.0276	0.999999920449722	2102.79	2162	2292	2053	2020	1994	31.17	32.05
grcC2	Rv0989c	polyprenyl-diphosphate synthase GrcC	PBS_RIF_DDmtb:15%; ctl_stationary:13%; hypoxia_late:11%	-0.0283	0.999999970540685	2062.89	2100	2078	2012	2053	2072	43.99	45.32
Rv1500	Rv1500	glycosyltransferase	hypoxia_late:13%; human_sputum:12%	-0.0158	0.999999992235926	1922.77	1671	1272	2247	2331	2211	55.53	56.64
epiA	Rv1512	nucleotide-sugar epimerase EpiA	high_iron:9%	-0.0287	0.999999896725354	2107.21	2180	2319	2045	2012	1989	168.62	173.49
mctB	Rv1698	copper transporter MctB	INDIGO_exponential:12%; high_iron:11%; tyloxopol:10%	-0.028	0.999999863772849	2100.05	2081	2438	1994	2040	1964	354.16	364
pstB	Rv0933	phosphate ABC transporter ATP-binding protein PstB	INDIGO_exponential:10%	-0.03	0.999999930603936	2096.85	2123	2314	1999	2023	2033	133.51	137.62
PE20	Rv1806	PE family protein PE20	hypoxia_hypoxic:30%; acidic:14%; hypoxia_rar:10%	-0.0371	0.99999999999839	1952.5	2134	1338	2107	2035	2223	9.62	10.05
Rv0250c	Rv0250c	hypothetical protein	hypoxia_fatty_acids:19%; ctl_exponential:11%	-0.0288	0.999999930718972	2077.83	2150	2168	2057	2018	1999	287.1	295.35
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	-0.0281	0.999999840131138	2096.36	2145	2361	1998	2033	1957	181.14	186.26
cysT	Rv2399c	sulfate ABC transporter permease CysT	PBS_RIF_DDmtb:11%	-0.0289	0.9999999776117	2024.73	1884	2060	2031	2065	2087	113.61	117.09
Rv3735	Rv3735	hypothetical protein	hypoxia_fatty_acids:10%	-0.0259	0.999999962523767	2037	1936	2098	2051	2078	2024	161.26	165.48
F6	Rvnc0003	putative small regulatory RNA	low_iron:21%	-0.0314	0.999999983489259	2035.88	1933	2116	1960	2062	2112	279.53	289.04
Rv2118c	Rv2118c	tRNA (adenine(58)-N(1))-methyltransferase	hypoxia_late:12%	-0.0302	0.99999994912289	2071.42	2014	2270	2006	2015	2058	98.71	101.84
Rv0496	Rv0496	hypothetical protein	ctl_stationary:8%	-0.0292	0.999999801548895	2104.44	2164	2418	1983	2022	1952	258.48	265.97
Rv1487	Rv1487	hypothetical protein	zinc_limitation:10%; acidic:10%	-0.0251	0.999999926559899	2051.96	1814	2403	1972	2075	2018	290.24	297.75
lipR	Rv3084	acetyl-hydrolase LipR	hypoxia_late:22%; nutrient_limitation:12%	-0.0153	0.999999942978153	1975.02	1643	1125	2713	2419	2196	75.26	76.64
Rv0556	Rv0556	transmembrane protein	INDIGO_exponential:9%	-0.0284	0.999999865585401	2077.35	2035	2380	1965	2027	1993	204.71	210.51
MT3626	MT3626	hypothetical protein	hypoxia_fatty_acids:30%	-0.0252	0.999999928357493	2042.13	1821	2332	1997	2064	2013	88.83	91.14
gmdA	Rv1511	GDP-D-mannose dehydratase GmdA	INDIGO_exponential:8%	-0.0309	0.999999884235696	2090.31	2118	2330	2028	2006	1979	212.97	219.49
nusB	Rv2533c	N utilization substance protein B	hypoxia_rar:8%	-0.0329	0.999999826832523	2114.33	2273	2376	1996	2000	1944	511.3	527.32
rtcB	Rv2631	RNA-splicing ligase RtcB	microaerophilic:24%	-0.0185	0.999999992142369	1903.36	1654	1321	2214	2293	2133	96.62	98.67
vapC9	Rv0960	ribonuclease VapC9	hypoxia_fatty_acids:10%	-0.0296	0.999999941536387	2053.07	2152	2028	2109	1983	1996	153.7	158.25
Rv2253	Rv2253	hypothetical protein	PBS_RIF_DDmtb:21%; human_sputum:15%; ctl_stationary:14%; hypoxia_late:11%	-0.0319	0.999999964282114	2055.91	2147	2065	2014	2014	2041	23.63	24.42
trmD	Rv2906c	tRNA (guanine-N1)-methyltransferase	hypoxia_late:9%	-0.0293	0.999999963130739	2031.92	1942	2079	2032	2058	2050	130.06	134
ureC	Rv1850	urease subunit alpha	hypoxia_late:14%	-0.0325	0.999999830413959	2102.01	2193	2378	2019	1995	1940	80.91	83.44
Rv2721c	Rv2721c	hypothetical protein	tyloxopol:10%	-0.0273	0.99999981933803	2062.38	1939	2414	1984	2043	1950	534.11	548.62
gcvB	Rv1832	glycine dehydrogenase	PBS_RIF_DDmtb:10%	-0.0261	0.999999899559219	2041.28	1893	2273	2015	2055	1980	238.74	245.04
Rv3832c	Rv3832c	hypothetical protein	butyrate_plus_glucose:60%; butyrate:20%	-0.0355	0.999999951855558	2074.49	2283	2062	2016	1993	2025	25.74	26.75
Rv3454	Rv3454	conserved membrane protein	PBS_RIF_DDmtb:33%	-0.0297	0.999999957128879	2024.22	1890	2132	2005	2039	2059	68.55	70.68
MT1713	MT1713	hypothetical protein	hypoxia_late:71%	-0.0471	0.999999996401102	2041.84	2342	1977	2039	1678	2205	2.78	2.95
Rv0807	Rv0807	hypothetical protein	hypoxia_late:19%; PBS_RIF_DDmtb:16%	-0.0306	0.999999962989318	2023.39	1943	2056	2052	2032	2035	59.42	61.19
sucC	Rv0951	succinyl-CoA ligase subunit beta	hypoxia_hypoxic:9%	-0.0303	0.99999977850859	2070.58	2182	2252	2004	1999	1925	472.12	486.08
Rv2260	Rv2260	hypothetical protein	ctl_exponential:9%	-0.029	0.999999855343773	2050.44	2019	2247	2001	2019	1972	244.28	251.23
Rv0615	Rv0615	integral membrane protein	ctl_stationary:11%	-0.0269	0.999999909142542	2018.86	1767	2337	1951	2046	2014	350.65	360.25
mftB	Rv0692	mycofactocin system protein MftB	nutrient_limitation:17%; tyloxopol:14%	-0.0352	0.999999960144047	2046.93	2087	2026	2041	2059	2022	2781.76	2876.17
Rv2143	Rv2143	hypothetical protein	hypoxia_late:9%	-0.0286	0.999999827942386	2038.63	1898	2349	1959	2029	1973	129.33	133.03
mmpL1	Rv0402c	transmembrane transport protein MmpL1	hypoxia_late:16%	-0.0308	0.999999902099428	2041.57	1964	2222	2037	1982	2008	41.46	42.79
PPE26	Rv1789	PPE family protein PPE26	acidic:10%	-0.031	0.999999722240792	2066.99	2071	2395	1988	2001	1897	322.59	332.21
Rv3723	Rv3723	transmembrane protein	microaerophilic:9%	-0.0327	0.999999659381727	2089.1	2218	2409	1962	1986	1892	538.31	555.17
crp	Rv3676	cAMP receptor protein	tyloxopol:8%	-0.0323	0.999999787973726	2065.03	2116	2298	1995	1987	1939	348.19	359.11
Rv0470A	Rv0470A	hypothetical protein	hypoxia_late:16%	-0.0316	0.999999862795655	2051.4	2062	2284	1926	2003	1991	61.65	63.58
narU	Rv0267	nitrite extrusion protein NarU	PBS_RIF_DDmtb:11%	-0.0385	0.999999856235445	2085.88	2324	2177	1993	1984	1963	110.89	114.9
mbtM	Rv1345	long-chain-fatty-acid--ACP ligase MbtM	low_iron:33%	-0.0359	0.999999819975221	2076.15	2247	2225	2011	1973	1935	126.14	130.4
proV	Rv3758c	glycine betaine/carnitine/choline/L-proline ABC transporter ATP-binding protein ProV	high_iron:10%	-0.0288	0.999999936830352	1983.68	1878	1948	2042	2047	2006	175.85	180.93
Rv0537c	Rv0537c	integral membrane protein	zinc_limitation:11%	-0.0327	0.999999659154344	2065.76	2135	2360	1985	1980	1885	232.94	240.2
Rv0223c	Rv0223c	aldehyde dehydrogenase	hypoxia_late:12%; acidic:11%	-0.03	0.999999836749813	2016.31	1897	2259	1952	2005	1978	41.43	42.69
Rv1489A	Rv1489A	hypothetical protein	acidic:10%	-0.0314	0.99999984015726	2026.75	2000	2195	1992	1969	1982	179.73	185.14
metC	Rv3340	O-acetylhomoserine sulfhydrylase	acidic_tyloxopol:22%; hypoxia_hypoxic:13%	-0.0323	0.999999853636231	2028.82	1929	2271	1966	1989	1998	55.68	57.49
lpqK	Rv0399c	lipoprotein LpqK	hypoxia_late:21%	-0.0302	0.999999927264687	1992.73	1965	1941	2079	1992	1988	52.77	54.33
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	-0.0324	0.999999876528923	2023.29	1981	2162	2043	1942	1992	18.74	19.35
dnaE2	Rv3370c	error-prone DNA polymerase	microaerophilic:27%; hypoxia_late:18%; zinc_limitation:12%	-0.0303	0.999999800382266	2022.07	1944	2232	1989	1985	1967	38	39.18
rpiB	Rv2465c	ribose-5-phosphate isomerase B	hypoxia_hypoxic:9%	-0.0344	0.999999696676884	2053.97	2108	2317	1955	1957	1945	171.12	176.8
Rv2418c	Rv2418c	hypothetical protein	human_sputum:9%	-0.0345	0.999999757405593	2049.62	2234	2138	1980	1944	1960	97.38	100.69
treS	Rv0126	trehalose synthase/amylase TreS	zinc_limitation:8%	-0.0306	0.999999957242544	1966.32	1961	1752	2049	2050	2028	88.29	91.03
hemA	Rv0509	glutamyl-tRNA reductase	zinc_limitation:10%	-0.0359	0.999999648431429	2068.78	2242	2293	1986	1958	1881	1084.1	1120.29
Rv1894c	Rv1894c	hypothetical protein	hypoxia_fatty_acids:24%; microaerophilic:15%; ctl_stationary:11%	-0.0194	0.999999976043818	1866.11	1617	1190	2209	2324	2123	107.71	110.08
Rv0090	Rv0090	membrane protein	hypoxia_late:40%; ctl_stationary:12%	-0.0354	0.999999955380521	1992.82	1986	1975	2009	1941	2054	10.46	10.87
hycD	Rv0084	formate hydrogenlyase HycD	hypoxia_late:9%	-0.0313	0.999999968133307	1951.36	1803	1817	2077	2060	2009	125.52	129.32
Rv3475	Rv3475	transposase	hypoxia_late:22%; ctl_stationary:18%	-0.0307	0.999999974433045	1931.88	1822	1709	2072	2024	2046	17.62	18.18
qcrC	Rv2194	ubiquinol-cytochrome C reductase cytochrome subunit C	tyloxopol:12%; INDIGO_exponential:11%	-0.0303	0.999999742652242	2002.91	1978	2140	1978	2009	1913	953.86	981.89
echA13	Rv1935c	enoyl-CoA hydratase EchA13	hypoxia_late:33%; ctl_stationary:12%	-0.0318	0.999999960063746	1961.33	1987	1833	2212	1753	2038	8.91	9.18
Rv1920	Rv1920	membrane protein	acidic_tyloxopol:10%; acidic:10%	-0.0334	0.999999720487328	2028.57	2109	2205	1928	1966	1942	49.02	50.61
fecB	Rv3044	FeIII-dicitrate-binding periplasmic lipoprotein	tyloxopol:8%	-0.0346	0.99999969378346	2042.01	2043	2318	1974	1970	1917	241.93	249.93
Rv2669	Rv2669	GCN5-like N-acetyltransferase	hypoxia_late:15%; PBS_RIF_DDmtb:13%	-0.0355	0.999999801133532	2031.32	2038	2261	1963	1938	1965	38.98	40.29
PPE34	Rv1917c	PPE family protein PPE34	hypoxia_late:32%; ctl_stationary:13%; human_sputum:12%	-0.0315	0.999999734069569	2004.95	2025	2119	2029	1932	1923	11.48	11.86
Rv2314c	Rv2314c	hypothetical protein	high_iron:8%	-0.0299	0.999999884734756	1965.16	1867	1942	2021	2028	1970	203.56	209.51
MT3718.1	MT3718.1	hypothetical protein	acidic_tyloxopol:14%	-0.0204	0.999999981648034	1844.59	1873	612	2876	1981	2361	7.63	7.76
nat	Rv3566c	arylamine N-acetyltransferase	hypoxia_late:11%; human_sputum:10%	-0.0338	0.999999761689421	2010.44	2125	2049	1973	1967	1941	57.54	59.39
Rv1375	Rv1375	hypothetical protein	acidic_tyloxopol:21%; acidic:19%	-0.0305	0.9999996345883	2007.52	1891	2357	1899	1994	1915	97.25	100.15
Rv2573	Rv2573	2-dehydropantoate 2-reductase	hypoxia_late:38%	-0.0381	0.999999905411199	2014.02	2111	2019	2000	1940	2002	21.75	22.64
Rv2257c	Rv2257c	hypothetical protein	hypoxia_late:10%	-0.0344	0.999999651100884	2024.57	2006	2304	1971	1960	1894	185.71	191.75
PE19	Rv1791	PE family protein PE19	human_sputum:17%; hypoxia_rar:11%	-0.0325	0.999999624321255	2020.04	1976	2308	1967	1978	1884	591.2	609.43
Rv3671c	Rv3671c	serine protease	butyrate_plus_glucose:9%	-0.0378	0.999999582275082	2051.57	2235	2262	1979	1943	1855	266.83	276.09
Rv3626c	Rv3626c	hypothetical protein	microaerophilic:17%	-0.0299	0.999999685084095	1978.5	1770	2272	1947	1996	1924	175.5	180.64
Rv3386	Rv3386	transposase	hypoxia_late:41%	-0.0355	0.999999862250988	1991.96	2049	2004	2062	1863	1985	26.25	27.1
Rv2219A	Rv2219A	membrane protein	acidic_tyloxopol:10%	-0.0344	0.999999682198664	2005.04	2002	2213	1930	1951	1936	146.23	151.07
fbpB	Rv1886c	diacylglycerol acyltransferase/mycolyltransferase Ag85B	tyloxopol:11%	-0.0322	0.999999575061035	2006.79	1940	2295	1970	1975	1867	576.74	594.53
Rv2261c	Rv2261c	conserved hypothetical protein	hypoxia_late:15%; human_sputum:12%	-0.0342	0.999999689672174	1994.83	1997	2181	1895	1959	1948	87.8	90.66
Rv2183c	Rv2183c	hypothetical protein	microaerophilic:9%	-0.0347	0.999999625503509	2012.74	1993	2274	1927	1950	1930	325.27	336.18
purL	Rv0803	phosphoribosylformylglycinamidine synthase 2	zinc_limitation:10%	-0.0315	0.999999476618156	2000.46	1864	2405	1909	1990	1859	175.48	180.82
pcaA	Rv0470c	cyclopropane mycolic acid synthase	zinc_limitation:8%	-0.0306	0.99999967391714	1975.29	1839	2201	1949	2002	1895	415.9	428.31
rbpA	Rv2050	RNA polymerase-binding protein RbpA	hypoxia_fatty_acids:14%	-0.0316	0.999999785411547	1970	1793	2146	1957	1991	1971	365.41	376.79
lpqR	Rv0838	lipoprotein LpqR	hypoxia_late:14%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	-0.0352	0.999999818800294	1981.84	1908	2105	1937	1976	1986	68.95	71.38
Rv1998c	Rv1998c	hypothetical protein	ctl_stationary:15%; butyrate:15%; cholesterol:14%; hypoxia_hypoxic:12%	-0.028	0.999999999976552	1736.32	1500	889	2141	2159	2215	23.95	24.71
dop	Rv2112c	pup deamidase/depupylase	zinc_limitation:8%	-0.0303	0.999999625853422	1973.82	1854	2208	1931	2004	1882	249.81	257.18
Rv1794	Rv1794	hypothetical protein	hypoxia_rar:9%	-0.0318	0.999999434421753	1995.6	1972	2267	1919	1974	1858	701.84	723.16
Rv0744c	Rv0744c	transcriptional regulator	hypoxia_late:20%; ctl_stationary:12%	-0.0351	0.999999939699325	1940.44	1812	1886	1991	1956	2062	65.84	68.32
echA17	Rv3039c	enoyl-CoA hydratase EchA17	hypoxia_late:19%	-0.0374	0.999999753643902	1993.04	2045	2094	1943	1910	1976	63.48	65.85
Rv2165c	Rv2165c	rRNA small subunit methyltransferase H	microaerophilic:16%	-0.0343	0.999999386492299	2009.46	2008	2351	1901	1961	1845	235.53	243.19
proX	Rv3759c	glycine betaine/carnitine/choline/L-proline ABC transporter substrate-binding lipoprotein ProX	high_iron:8%	-0.0301	0.999999983819401	1848.77	1637	1435	2070	2089	2065	238.17	245.47
Rv0739	Rv0739	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:16%; human_sputum:12%; ctl_stationary:10%	-0.0418	0.999999899365785	1987.37	2151	1899	2023	1923	1946	15.01	15.68
echA20	Rv3550	enoyl-CoA hydratase EchA20	human_sputum:36%; hypoxia_fatty_acids:12%; hypoxia_late:12%	-0.0326	0.999999723938911	1962.88	1818	2160	1939	1952	1953	56.6	58.37
prcB	Rv2110c	proteasome subunit beta	INDIGO_exponential:8%	-0.0299	0.999999968029614	1874.01	1667	1571	2056	2074	2034	672.13	692.14
echA3	Rv0632c	enoyl-CoA hydratase EchA3	tyloxopol:9%	-0.0315	0.999999908136158	1919.13	1703	1869	2047	2013	1974	562.28	579.53
Rv0817c	Rv0817c	hypothetical protein	hypoxia_late:16%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	-0.0362	0.99999989907401	1950.52	1892	1917	1961	1954	2030	30.52	31.67
Rv2649	Rv2649	transposase	hypoxia_late:22%; ctl_stationary:18%	-0.0344	0.999999954836871	1906.74	1806	1685	2035	1979	2042	17.42	18.03
secD	Rv2587c	protein translocase subunit SecD	zinc_limitation:8%	-0.0335	0.999999462832486	1979.11	1851	2310	1953	1955	1844	429	442.55
Rv0804	Rv0804	hypothetical protein	hypoxia_late:20%	-0.0351	0.999999313949893	2004.41	2030	2345	1898	1919	1849	170.34	175.93
eccC2	Rv3894c	ESX-2 type VII secretion system protein EccC	hypoxia_late:11%	-0.0323	0.999999546340002	1970.92	1842	2224	1975	1964	1861	76.77	79.16
Rv2019	Rv2019	hypothetical protein	hypoxia_fatty_acids:11%; acidic_tyloxopol:10%	-0.04	0.999999915797717	1961.26	2061	1813	1942	1972	2023	43.86	45.77
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	-0.031	0.999999672267225	1944.65	1720	2173	1936	1998	1910	267.48	275.55
mez	Rv2332	malate oxidoreductase	PBS_RIF_DDmtb:12%; hypoxia_late:10%	-0.034	0.999999780956071	1945.72	1794	2074	1921	1962	1983	26.42	27.35
Rv0373c	Rv0373c	carbon monoxyde dehydrogenase large subunit	hypoxia_late:32%; ctl_stationary:13%	-0.0362	0.99999967107812	1976.91	2069	2051	2013	1867	1889	10.74	11.12
fmt	Rv1406	methionyl-tRNA formyltransferase	hypoxia_late:17%; zinc_limitation:14%	-0.0336	0.999999497223201	1973.68	1845	2303	1882	1947	1908	104.86	108.25
dapC	Rv0858c	N-succinyldiaminopimelate aminotransferase DapC	hypoxia_late:18%	-0.0363	0.999999483162315	1984.15	1959	2254	1933	1912	1874	57.01	58.98
rplK	Rv0640	50S ribosomal protein L11	zinc_limitation:10%	-0.0358	0.999999714101951	1957.42	2041	1887	1987	1963	1911	1068.35	1104.33
MT3058.2	MT3058.2	hypothetical protein	hypoxia_late:40%	-0.0404	0.999999973549281	1902.36	1829	1678	1904	2017	2098	99.23	103.8
ctpJ	Rv3743c	cation transporter ATPase J	cholesterol:18%; hypoxia_late:17%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:11%	-0.0381	0.999999451579727	1993.04	2131	2183	2018	1778	1870	19.58	20.29
moaX	Rv3323c	MoaD-MoaE fusion protein MoaX	hypoxia_late:13%; human_sputum:11%	-0.0383	0.999999638786342	1976.61	1956	2187	1891	1925	1931	43.84	45.46
fadD31	Rv1925	fatty-acid--CoA ligase FadD31	tyloxopol:10%	-0.035	0.999999716100979	1941.55	1969	1868	1981	1977	1914	1165.41	1203.99
Rv2013	Rv2013	transposase	hypoxia_late:48%	-0.0483	0.999999955148971	1974.15	2228	1739	1857	1988	2077	29.09	30.57
pafA	Rv2097c	proteasome accessory factor PafA	tyloxopol:10%	-0.0317	0.999999908821761	1888.81	1717	1703	2022	2030	1987	309.57	319.14
ideR	Rv2711	iron-dependent repressor and activator IdeR	PBS_RIF_DDmtb:11%	-0.0316	0.999999931707448	1879.05	1696	1645	2033	2041	2001	586.81	604.99
Rv1157c	Rv1157c	hypothetical protein	microaerophilic:11%; tyloxopol:10%	-0.0356	0.999999086843272	1987.6	2142	2188	1911	1915	1796	437.16	451.67
Rv3773c	Rv3773c	hypothetical protein	hypoxia_late:9%	-0.0394	0.999999539250063	1977.61	2070	2117	1880	1884	1943	81.93	85.09
Rv3096	Rv3096	hypothetical protein	tyloxopol:11%	-0.0362	0.999999601329423	1955.78	1910	2070	1944	1936	1921	179.08	185.33
amiB1	Rv3306c	amidase AmiB	hypoxia_late:8%	-0.033	0.999999351176243	1947.67	1832	2214	1917	1968	1820	248.59	256.39
Rv1265	Rv1265	hypothetical protein	ctl_stationary:14%; nutrient_limitation:11%	-0.0385	0.999999153174056	1990.73	2075	2287	1886	1902	1821	394.56	408.72
Rv0078A	Rv0078A	hypothetical protein	hypoxia_fatty_acids:8%	-0.0199	0.999999918359791	1796.39	1508	970	2222	2368	2129	247.74	253.32
Rv3091	Rv3091	hypothetical protein	hypoxia_late:13%	-0.038	0.999999151667346	1982.67	2096	2209	1941	1881	1800	120.59	124.83
Rv1615	Rv1615	membrane protein	tyloxopol:8%	-0.034	0.99999936505491	1936.26	1827	2161	1883	1948	1871	371.4	383.46
MT2593.2	MT2593.2	hypothetical protein	hypoxia_late:14%; human_sputum:14%	-0.0479	0.999999937664123	1945.49	2056	1943	1736	1929	2073	17.08	17.98
Rv1717	Rv1717	hypothetical protein	hypoxia_late:29%	-0.0514	0.999999849267958	1997.97	2255	1890	1958	1935	1962	60.75	63.64
pks5	Rv1527c	polyketide synthase	hypoxia_late:18%	-0.0359	0.999999323812391	1948.9	1811	2265	1935	1924	1826	94.42	97.64
rip	Rv2869c	zinc metalloprotease	zinc_limitation:8%	-0.0349	0.999999275052618	1941.03	1906	2125	1938	1939	1804	268.3	277.08
Rv3579c	Rv3579c	tRNA/rRNA methyltransferase	microaerophilic:14%; PBS_RIF_DDmtb:13%	-0.0376	0.999999173317583	1965.09	1947	2285	1885	1918	1807	268.57	277.99
TB8.4	Rv1174c	low molecular weight T-cell antigen	acidic:8%	-0.0346	0.999999031604974	1946.74	1787	2362	1872	1945	1795	1954.03	2017.48
PPE40	Rv2356c	PPE family protein	human_sputum:11%	-0.0326	0.999999934514462	1847.78	1646	1557	2025	2038	2003	177.41	183.09
rpmF	Rv0979A	50S ribosomal protein L32	INDIGO_exponential:10%	-0.0408	0.999999866374408	1904.26	1977	1681	2002	1887	1984	271.43	282.48
MT0692.1	MT0692.1	hypothetical protein	hypoxia_late:15%	-0.0399	0.999999820477271	1905.06	2004	1689	2024	1844	1975	72.52	75.2
Rv0303	Rv0303	dehydrogenase/reductase	hypoxia_fatty_acids:20%; nutrient_limitation:13%; PBS_RIF_DDmtb:12%	-0.0411	0.99999909292194	1978.53	2091	2251	1863	1868	1836	112.34	116.64
frdC	Rv1554	fumarate reductase membrane anchor subunit	hypoxia_late:25%; acidic:20%; acidic_tyloxopol:14%	-0.0511	0.999999983765997	1899.69	2117	1340	1879	1953	2282	4.53	4.91
Rv0104	Rv0104	hypothetical protein	human_sputum:11%; zinc_limitation:11%	-0.043	0.99999952461037	1965.04	2029	2106	1922	1880	1893	38.02	39.59
mmpL6	Rv1557	transmembrane transport protein MmpL6	hypoxia_late:15%; acidic_tyloxopol:12%	-0.0401	0.999999646621263	1924.07	1757	2157	1853	1888	1977	25.35	26.4
pstS2	Rv0932c	phosphate ABC transporter substrate-binding lipoprotein PstS	zinc_limitation:9%	-0.0343	0.999999415728356	1915.65	1853	2012	1908	1965	1843	1616.3	1668.55
Rv0874c	Rv0874c	hypothetical protein	hypoxia_late:13%; ctl_stationary:11%	-0.0361	0.999999392516736	1924.97	1917	2017	1990	1872	1832	101.06	104.42
Rv1021	Rv1021	nucleoside triphosphate pyrophosphohydrolase	hypoxia_late:11%; zinc_limitation:10%	-0.0357	0.999999313189697	1929.2	1758	2256	1849	1928	1873	73.49	75.99
Rv1546	Rv1546	hypothetical protein	hypoxia_late:11%	-0.04	0.999999204038192	1956.73	1958	2243	1894	1873	1829	185.03	191.8
